Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,9,Mika Hakkinen,HAK,McLaren Mercedes,1:16.602,11
2,3,Jacques Villeneuve,VIL,Williams Renault,1:16.691,10
3,4,Heinz-Harald Frentzen,FRE,Williams Renault,1:16.741,12
4,12,Giancarlo Fisichella,FIS,Jordan Peugeot,1:17.289,11
5,5,Michael Schumacher,MSC,Ferrari,1:17.385,11
6,10,David Coulthard,COU,McLaren Mercedes,1:17.387,12
7,8,Gerhard Berger,BER,Benetton Renault,1:17.587,9
8,11,Ralf Schumacher,RSC,Jordan Peugeot,1:17.595,11
9,22,Rubens Barrichello,BAR,Stewart Ford,1:17.614,12
10,7,Jean Alesi,ALE,Benetton Renault,1:17.620,11
11,14,Olivier Panis,PAN,Prost Mugen Honda,1:17.650,11
12,23,Jan Magnussen,MAG,Stewart Ford,1:17.722,11
13,1,Damon Hill,HIL,Arrows Yamaha,1:17.795,12
14,6,Eddie Irvine,IRV,Ferrari,1:17.855,12
15,2,Pedro Diniz,DIN,Arrows Yamaha,1:18.128,11
16,16,Johnny Herbert,HER,Sauber Petronas,1:18.303,10
17,15,Shinji Nakano,NAK,Prost Mugen Honda,1:18.699,12
18,21,Tarso Marques,MAR,Minardi Hart,1:19.347,12
19,17,Gianni Morbidelli,MOR,Sauber Petronas,1:19.490,12
20,19,Mika Salo,SAL,Tyrrell Ford,1:19.526,12
21,18,Jos Verstappen,VER,Tyrrell Ford,1:19.531,12
22,20,Ukyo Katayama,KAT,Minardi Hart,1:20.615,11
