Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,5,Giancarlo Fisichella,FIS,Benetton Playlife,1:29.598,12
2,14,Jean Alesi,ALE,Sauber Petronas,1:30.317,12
3,8,Mika Hakkinen,HAK,McLaren Mercedes,1:30.517,12
4,3,Michael Schumacher,MSC,Ferrari,1:30.551,10
5,18,Rubens Barrichello,BAR,Stewart Ford,1:31.005,12
6,17,Mika Salo,SAL,Arrows,1:31.028,11
7,2,Heinz-Harald Frentzen,FRE,Williams Mecachrome,1:31.515,11
8,4,Eddie Irvine,IRV,Ferrari,1:31.651,9
9,10,Ralf Schumacher,RSC,Jordan Mugen Honda,1:31.917,12
10,11,Olivier Panis,PAN,Prost Peugeot,1:32.081,12
11,1,Jacques Villeneuve,VIL,Williams Mecachrome,1:32.083,11
12,19,Jos Verstappen,VER,Stewart Ford,1:32.099,12
13,16,Pedro Diniz,DIN,Arrows,1:32.206,12
14,7,David Coulthard,COU,McLaren Mercedes,1:32.399,12
15,9,Damon Hill,HIL,Jordan Mugen Honda,1:32.718,11
16,12,Jarno Trulli,TRU,Prost Peugeot,1:32.906,12
17,6,Alexander Wurz,WUR,Benetton Playlife,1:33.185,10
18,15,Johnny Herbert,HER,Sauber Petronas,1:33.205,10
19,23,Esteban Tuero,TUE,Minardi Ford,1:33.399,12
20,21,Toranosuke Takagi,TAK,Tyrrell Ford,1:34.090,12
21,22,Shinji Nakano,NAK,Minardi Ford,1:34.536,9
22,20,Ricardo Rosset,ROS,Tyrrell Ford,1:34.910,11
