Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,8,Mika Hakkinen,HAK,McLaren Mercedes,1:20.262,11
2,7,David Coulthard,COU,McLaren Mercedes,1:20.996,12
3,3,Michael Schumacher,MSC,Ferrari,1:21.785,11
4,5,Giancarlo Fisichella,FIS,Benetton Playlife,1:21.894,11
5,6,Alexander Wurz,WUR,Benetton Playlife,1:21.965,12
6,4,Eddie Irvine,IRV,Ferrari,1:22.350,12
7,15,Johnny Herbert,HER,Sauber Petronas,1:22.794,9
8,9,Damon Hill,HIL,Jordan Mugen Honda,1:22.835,11
9,18,Rubens Barrichello,BAR,Stewart Ford,1:22.860,12
10,1,Jacques Villeneuve,VIL,Williams Mecachrome,1:22.885,10
11,10,Ralf Schumacher,RSC,Jordan Mugen Honda,1:22.927,12
12,11,Olivier Panis,PAN,Prost Peugeot,1:22.963,12
13,2,Heinz-Harald Frentzen,FRE,Williams Mecachrome,1:23.197,11
14,14,Jean Alesi,ALE,Sauber Petronas,1:23.327,11
15,16,Pedro Diniz,DIN,Arrows,1:23.704,12
16,12,Jarno Trulli,TRU,Prost Peugeot,1:23.748,12
17,17,Mika Salo,SAL,Arrows,1:23.887,12
18,19,Jan Magnussen,MAG,Stewart Ford,1:24.112,12
19,23,Esteban Tuero,TUE,Minardi Ford,1:24.265,12
20,22,Shinji Nakano,NAK,Minardi Ford,1:24.538,12
21,21,Toranosuke Takagi,TAK,Tyrrell Ford,1:24.722,12
NC,20,Ricardo Rosset,ROS,Tyrrell Ford,1:25.946,12
