Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,8,Mika Hakkinen,HAK,McLaren Mercedes,1:19.798,12
2,7,David Coulthard,COU,McLaren Mercedes,1:20.137,11
3,5,Giancarlo Fisichella,FIS,Benetton Playlife,1:20.368,12
4,3,Michael Schumacher,MSC,Ferrari,1:20.702,11
5,2,Heinz-Harald Frentzen,FRE,Williams Mecachrome,1:20.729,12
6,6,Alexander Wurz,WUR,Benetton Playlife,1:20.955,12
7,4,Eddie Irvine,IRV,Ferrari,1:21.712,11
8,17,Mika Salo,SAL,Arrows,1:22.144,11
9,15,Johnny Herbert,HER,Sauber Petronas,1:22.157,11
10,12,Jarno Trulli,TRU,Prost Peugeot,1:22.238,12
11,14,Jean Alesi,ALE,Sauber Petronas,1:22.257,12
12,16,Pedro Diniz,DIN,Arrows,1:22.355,12
13,1,Jacques Villeneuve,VIL,Williams Mecachrome,1:22.468,12
14,18,Rubens Barrichello,BAR,Stewart Ford,1:22.540,11
15,9,Damon Hill,HIL,Jordan Mugen Honda,1:23.151,12
16,10,Ralf Schumacher,RSC,Jordan Mugen Honda,1:23.263,12
17,19,Jan Magnussen,MAG,Stewart Ford,1:23.411,12
18,11,Olivier Panis,PAN,Prost Peugeot,1:23.536,11
19,22,Shinji Nakano,NAK,Minardi Ford,1:23.957,12
20,21,Toranosuke Takagi,TAK,Tyrrell Ford,1:24.024,12
21,23,Esteban Tuero,TUE,Minardi Ford,1:24.031,12
NC,20,Ricardo Rosset,ROS,Tyrrell Ford,1:25.737,9
