Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,8,Mika Hakkinen,HAK,McLaren Mercedes,1:30.010,10
2,7,David Coulthard,COU,McLaren Mercedes,1:30.053,10
3,3,Michael Schumacher,MSC,Ferrari,1:30.767,11
4,1,Jacques Villeneuve,VIL,Williams Mecachrome,1:30.919,12
5,15,Johnny Herbert,HER,Sauber Petronas,1:31.384,12
6,2,Heinz-Harald Frentzen,FRE,Williams Mecachrome,1:31.397,12
7,5,Giancarlo Fisichella,FIS,Benetton Playlife,1:31.733,12
8,4,Eddie Irvine,IRV,Ferrari,1:31.767,11
9,10,Ralf Schumacher,RSC,Jordan Mugen Honda,1:32.392,11
10,9,Damon Hill,HIL,Jordan Mugen Honda,1:32.399,12
11,6,Alexander Wurz,WUR,Benetton Playlife,1:32.726,9
12,14,Jean Alesi,ALE,Sauber Petronas,1:33.240,11
13,21,Toranosuke Takagi,TAK,Tyrrell Ford,1:33.291,11
14,18,Rubens Barrichello,BAR,Stewart Ford,1:33.383,8
15,12,Jarno Trulli,TRU,Prost Peugeot,1:33.739,11
16,11,Olivier Panis,PAN,Prost Peugeot,1:33.851,12
17,17,Mika Salo,SAL,Arrows,1:33.927,8
18,23,Esteban Tuero,TUE,Minardi Ford,1:34.646,12
19,19,Jan Magnussen,MAG,Stewart Ford,1:34.906,9
20,20,Ricardo Rosset,ROS,Tyrrell Ford,1:35.119,11
21,16,Pedro Diniz,DIN,Arrows,1:35.140,7
22,22,Shinji Nakano,NAK,Minardi Ford,1:35.301,12
