Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Mika Hakkinen,HAK,McLaren Mercedes,1:42.950,11
2,8,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:43.000,11
3,2,David Coulthard,COU,McLaren Mercedes,1:43.288,12
4,3,Mika Salo,SAL,Ferrari,1:43.577,11
5,4,Eddie Irvine,IRV,Ferrari,1:43.769,11
6,16,Rubens Barrichello,BAR,Stewart Ford,1:43.938,12
7,18,Olivier Panis,PAN,Prost Peugeot,1:43.979,12
8,7,Damon Hill,HIL,Jordan Mugen Honda,1:44.001,12
9,19,Jarno Trulli,TRU,Prost Peugeot,1:44.209,10
10,9,Giancarlo Fisichella,FIS,Benetton Playlife,1:44.338,11
11,6,Ralf Schumacher,RSC,Williams Supertec,1:44.468,12
12,22,Jacques Villeneuve,VIL,BAR Supertec,1:44.508,10
13,10,Alexander Wurz,WUR,Benetton Playlife,1:44.522,11
14,5,Alessandro Zanardi,ZAN,Williams Supertec,1:45.034,12
15,21,Marc Gene,GEN,Minardi Ford,1:45.331,12
16,12,Pedro Diniz,DIN,Sauber Petronas,1:45.335,12
17,17,Johnny Herbert,HER,Stewart Ford,1:45.454,11
18,23,Ricardo Zonta,ZON,BAR Supertec,1:45.460,12
19,20,Luca Badoer,BAD,Minardi Ford,1:45.917,12
20,14,Pedro de la Rosa,DLR,Arrows,1:45.935,12
21,11,Jean Alesi,ALE,Sauber Petronas,1:45.962,12
22,15,Toranosuke Takagi,TAK,Arrows,1:46.209,12
