Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Mika Hakkinen,HAK,McLaren Mercedes,1:16.568,12
2,2,David Coulthard,COU,McLaren Mercedes,1:16.715,12
3,16,Rubens Barrichello,BAR,Stewart Ford,1:17.305,11
4,3,Michael Schumacher,MSC,Ferrari,1:17.578,11
5,9,Giancarlo Fisichella,FIS,Benetton Playlife,1:17.810,12
6,4,Eddie Irvine,IRV,Ferrari,1:17.843,11
7,7,Damon Hill,HIL,Jordan Mugen Honda,1:17.884,11
8,8,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:17.902,11
9,10,Alexander Wurz,WUR,Benetton Playlife,1:18.334,12
10,17,Johnny Herbert,HER,Stewart Ford,1:18.374,12
11,6,Ralf Schumacher,RSC,Williams Supertec,1:18.506,12
12,18,Olivier Panis,PAN,Prost Peugeot,1:18.636,12
13,19,Jarno Trulli,TRU,Prost Peugeot,1:18.684,12
14,11,Jean Alesi,ALE,Sauber Petronas,1:18.716,12
15,12,Pedro Diniz,DIN,Sauber Petronas,1:19.194,11
16,22,Jacques Villeneuve,VIL,BAR Supertec,1:19.377,12
17,5,Alessandro Zanardi,ZAN,Williams Supertec,1:19.452,10
18,20,Stephane Sarrazin,SAR,Minardi Ford,1:20.016,12
19,14,Pedro de la Rosa,DLR,Arrows,1:20.075,11
20,15,Toranosuke Takagi,TAK,Arrows,1:20.096,12
21,21,Marc Gene,GEN,Minardi Ford,1:20.710,11
