Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,3,Michael Schumacher,MSC,Ferrari,1:39.688,8
2,4,Eddie Irvine,IRV,Ferrari,1:40.635,8
3,2,David Coulthard,COU,McLaren Mercedes,1:40.806,12
4,1,Mika Hakkinen,HAK,McLaren Mercedes,1:40.866,11
5,17,Johnny Herbert,HER,Stewart Ford,1:40.937,12
6,16,Rubens Barrichello,BAR,Stewart Ford,1:41.351,12
7,10,Alexander Wurz,WUR,Benetton Playlife,1:41.444,12
8,6,Ralf Schumacher,RSC,Williams Supertec,1:41.558,11
9,7,Damon Hill,HIL,Jordan Mugen Honda,1:42.050,11
10,22,Jacques Villeneuve,VIL,BAR Supertec,1:42.087,11
11,9,Giancarlo Fisichella,FIS,Benetton Playlife,1:42.110,11
12,18,Olivier Panis,PAN,Prost Peugeot,1:42.208,12
13,23,Ricardo Zonta,ZON,BAR Supertec,1:42.310,11
14,8,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,1:42.380,12
15,11,Jean Alesi,ALE,Sauber Petronas,1:42.522,12
16,5,Alessandro Zanardi,ZAN,Williams Supertec,1:42.885,12
17,12,Pedro Diniz,DIN,Sauber Petronas,1:42.933,12
18,19,Jarno Trulli,TRU,Prost Peugeot,1:42.948,12
19,21,Marc Gene,GEN,Minardi Ford,1:43.563,12
20,14,Pedro de la Rosa,DLR,Arrows,1:43.579,12
21,20,Luca Badoer,BAD,Minardi Ford,1:44.321,12
22,15,Toranosuke Takagi,TAK,Arrows,1:44.637,12
