Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,1,Mika Hakkinen,HAK,McLaren Mercedes,71,1:28:15.818,10
2,2,David Coulthard,COU,McLaren Mercedes,71,+12.535s,6
3,4,Rubens Barrichello,BAR,Ferrari,71,+30.795s,4
4,22,Jacques Villeneuve,VIL,BAR Honda,70,+1 lap,3
5,10,Jenson Button,BUT,Williams BMW,70,+1 lap,2
6,17,Mika Salo,SAL,Sauber Petronas,70,+1 lap,1
7,8,Johnny Herbert,HER,Jaguar Cosworth,70,+1 lap,0
8,20,Marc Gene,GEN,Minardi Fondmetal,70,+1 lap,0
9,16,Pedro Diniz,DIN,Sauber Petronas,70,+1 lap,0
10,12,Alexander Wurz,WUR,Benetton Playlife,70,+1 lap,0
11,7,Luciano Burti,BUR,Jaguar Cosworth,69,+2 laps,0
12,21,Gaston Mazzacane,MAZ,Minardi Fondmetal,68,+3 laps,0
NC,23,Ricardo Zonta,ZON,BAR Honda,58,DNF,0
NC,9,Ralf Schumacher,RSC,Williams BMW,52,DNF,0
NC,15,Nick Heidfeld,HEI,Prost Peugeot,41,DNF,0
NC,14,Jean Alesi,ALE,Prost Peugeot,41,DNF,0
NC,18,Pedro de la Rosa,DLR,Arrows Supertec,32,DNF,0
NC,19,Jos Verstappen,VER,Arrows Supertec,14,DNF,0
NC,5,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,4,DNF,0
NC,3,Michael Schumacher,MSC,Ferrari,0,DNF,0
NC,6,Jarno Trulli,TRU,Jordan Mugen Honda,0,DNF,0
NC,11,Giancarlo Fisichella,FIS,Benetton Playlife,0,DNF,0
