Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,3,Michael Schumacher,MSC,Ferrari,56,1:35:54.235,10
2,2,David Coulthard,COU,McLaren Mercedes,56,+0.732s,6
3,4,Rubens Barrichello,BAR,Ferrari,56,+18.444s,4
4,1,Mika Hakkinen,HAK,McLaren Mercedes,56,+35.269s,3
5,22,Jacques Villeneuve,VIL,BAR Honda,56,+70.692s,2
6,7,Eddie Irvine,IRV,Jaguar Cosworth,56,+72.568s,1
7,12,Alexander Wurz,WUR,Benetton Playlife,56,+89.314s,0
8,17,Mika Salo,SAL,Sauber Petronas,55,+1 lap,0
9,11,Giancarlo Fisichella,FIS,Benetton Playlife,55,+1 lap,0
10,19,Jos Verstappen,VER,Arrows Supertec,55,+1 lap,0
11,14,Jean Alesi,ALE,Prost Peugeot,55,+1 lap,0
12,6,Jarno Trulli,TRU,Jordan Mugen Honda,55,+1 lap,0
13,21,Gaston Mazzacane,MAZ,Minardi Fondmetal,50,DNF,0
NC,8,Johnny Herbert,HER,Jaguar Cosworth,48,DNF,0
NC,23,Ricardo Zonta,ZON,BAR Honda,46,DNF,0
NC,9,Ralf Schumacher,RSC,Williams BMW,43,DNF,0
NC,20,Marc Gene,GEN,Minardi Fondmetal,36,DNF,0
NC,10,Jenson Button,BUT,Williams BMW,18,DNF,0
NC,5,Heinz-Harald Frentzen,FRE,Jordan Mugen Honda,7,DNF,0
NC,18,Pedro de la Rosa,DLR,Arrows Supertec,0,DNF,0
NC,15,Nick Heidfeld,HEI,Prost Peugeot,0,DNF,0
NC,16,Pedro Diniz,DIN,Sauber Petronas,0,DNF,0
