Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,6,Juan Pablo Montoya,MOY,Williams BMW,1:22.216,12
2,2,Rubens Barrichello,BAR,Ferrari,1:22.528,11
3,1,Michael Schumacher,MSC,Ferrari,1:22.624,10
4,5,Ralf Schumacher,RSC,Williams BMW,1:22.841,12
5,11,Jarno Trulli,TRU,Jordan Honda,1:23.126,12
6,4,David Coulthard,COU,McLaren Mercedes,1:23.148,12
7,3,Mika Hakkinen,HAK,McLaren Mercedes,1:23.394,11
8,16,Nick Heidfeld,HEI,Sauber Petronas,1:23.417,12
9,17,Kimi Räikkönen,RAI,Sauber Petronas,1:23.595,11
10,19,Pedro de la Rosa,DLR,Jaguar Cosworth,1:23.693,11
11,8,Jenson Button,BUT,Benetton Renault,1:23.892,12
12,22,Heinz-Harald Frentzen,FRE,Prost Acer,1:23.943,12
13,18,Eddie Irvine,IRV,Jaguar Cosworth,1:24.031,10
14,7,Giancarlo Fisichella,FIS,Benetton Renault,1:24.090,9
15,10,Jacques Villeneuve,VIL,BAR Honda,1:24.164,12
16,12,Jean Alesi,ALE,Jordan Honda,1:24.198,12
17,9,Olivier Panis,PAN,BAR Honda,1:24.677,11
18,15,Enrique Bernoldi,BER,Arrows Asiatech,1:25.444,12
19,14,Jos Verstappen,VER,Arrows Asiatech,1:25.511,12
20,23,Tomas Enge,ENG,Prost Acer,1:26.039,9
21,21,Fernando Alonso,ALO,Minardi European,1:26.218,9
22,20,Alex Yoong,YOO,Minardi European,1:27.463,11
