Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:11.708,9
2,3,Mika Hakkinen,HAK,McLaren Mercedes,1:11.945,11
3,5,Ralf Schumacher,RSC,Williams BMW,1:11.986,11
4,6,Juan Pablo Montoya,MOY,Williams BMW,1:12.252,11
5,2,Rubens Barrichello,BAR,Ferrari,1:12.327,12
6,16,Nick Heidfeld,HEI,Sauber Petronas,1:12.434,11
7,4,David Coulthard,COU,McLaren Mercedes,1:12.500,12
8,11,Jarno Trulli,TRU,Jordan Honda,1:12.605,11
9,12,Jean Alesi,ALE,Jordan Honda,1:12.607,12
10,8,Jenson Button,BUT,Benetton Renault,1:12.805,12
11,17,Kimi Räikkönen,RAI,Sauber Petronas,1:12.881,12
12,7,Giancarlo Fisichella,FIS,Benetton Renault,1:12.942,12
13,9,Olivier Panis,PAN,BAR Honda,1:13.122,12
14,18,Eddie Irvine,IRV,Jaguar Cosworth,1:13.189,12
15,22,Heinz-Harald Frentzen,FRE,Prost Acer,1:13.281,11
16,19,Pedro de la Rosa,DLR,Jaguar Cosworth,1:13.679,12
17,21,Fernando Alonso,ALO,Minardi European,1:13.991,12
18,10,Jacques Villeneuve,VIL,BAR Honda,1:14.012,12
19,15,Enrique Bernoldi,BER,Arrows Asiatech,1:14.129,10
20,14,Jos Verstappen,VER,Arrows Asiatech,1:14.138,12
21,23,Tomas Enge,ENG,Prost Acer,1:14.185,11
22,20,Alex Yoong,YOO,Minardi European,1:15.247,12
