Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:35.220,12
2,2,Rubens Barrichello,BAR,Ferrari,1:35.319,12
3,5,Ralf Schumacher,RSC,Williams BMW,1:35.511,12
4,3,Mika Hakkinen,HAK,McLaren Mercedes,1:36.040,11
5,12,Jarno Trulli,TRU,Jordan Honda,1:36.180,11
6,6,Juan Pablo Montoya,MOY,Williams BMW,1:36.218,11
7,10,Jacques Villeneuve,VIL,BAR Honda,1:36.397,12
8,4,David Coulthard,COU,McLaren Mercedes,1:36.417,12
9,11,Heinz-Harald Frentzen,FRE,Jordan Honda,1:36.578,11
10,9,Olivier Panis,PAN,BAR Honda,1:36.681,12
11,16,Nick Heidfeld,HEI,Sauber Petronas,1:36.913,12
12,18,Eddie Irvine,IRV,Jaguar Cosworth,1:37.140,12
13,22,Jean Alesi,ALE,Prost Acer,1:37.406,12
14,17,Kimi Räikkönen,RAI,Sauber Petronas,1:37.728,9
15,19,Luciano Burti,BUR,Jaguar Cosworth,1:38.035,12
16,7,Giancarlo Fisichella,FIS,Benetton Renault,1:38.086,7
17,8,Jenson Button,BUT,Benetton Renault,1:38.258,12
18,14,Jos Verstappen,VER,Arrows Asiatech,1:38.509,12
19,23,Gaston Mazzacane,MAZ,Prost Acer,1:39.006,12
20,20,Tarso Marques,MAR,Minardi European,1:39.714,12
21,21,Fernando Alonso,ALO,Minardi European,1:40.249,11
