Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:14.960,8
2,5,Ralf Schumacher,RSC,Williams BMW,1:15.226,12
3,6,Juan Pablo Montoya,MOY,Williams BMW,1:15.490,11
4,2,Rubens Barrichello,BAR,Ferrari,1:15.622,11
5,4,David Coulthard,COU,McLaren Mercedes,1:15.717,12
6,3,Mika Hakkinen,HAK,McLaren Mercedes,1:15.776,12
7,12,Jarno Trulli,TRU,Jordan Honda,1:16.138,10
8,11,Heinz-Harald Frentzen,FRE,Jordan Honda,1:16.376,11
9,17,Kimi Räikkönen,RAI,Sauber Petronas,1:16.402,11
10,16,Nick Heidfeld,HEI,Sauber Petronas,1:16.438,11
11,10,Jacques Villeneuve,VIL,BAR Honda,1:16.439,12
12,18,Eddie Irvine,IRV,Jaguar Cosworth,1:16.588,11
13,9,Olivier Panis,PAN,BAR Honda,1:16.872,11
14,22,Jean Alesi,ALE,Prost Acer,1:17.251,11
15,7,Giancarlo Fisichella,FIS,Benetton Renault,1:17.378,11
16,19,Pedro de la Rosa,DLR,Jaguar Cosworth,1:17.627,12
17,23,Luciano Burti,BUR,Prost Acer,1:18.113,11
18,15,Enrique Bernoldi,BER,Arrows Asiatech,1:18.151,12
19,14,Jos Verstappen,VER,Arrows Asiatech,1:18.262,11
20,8,Jenson Button,BUT,Benetton Renault,1:18.626,11
21,21,Fernando Alonso,ALO,Minardi European,1:18.630,11
22,20,Tarso Marques,MAR,Minardi European,1:18.689,12
