Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:20.447,12
2,3,Mika Hakkinen,HAK,McLaren Mercedes,1:20.529,12
3,4,David Coulthard,COU,McLaren Mercedes,1:20.927,12
4,12,Jarno Trulli,TRU,Jordan Honda,1:20.930,10
5,11,Heinz-Harald Frentzen,FRE,Jordan Honda,1:21.217,12
6,2,Rubens Barrichello,BAR,Ferrari,1:21.715,12
7,17,Kimi Räikkönen,RAI,Sauber Petronas,1:22.023,12
8,6,Juan Pablo Montoya,MOY,Williams BMW,1:22.219,9
9,16,Nick Heidfeld,HEI,Sauber Petronas,1:22.223,11
10,5,Ralf Schumacher,RSC,Williams BMW,1:22.283,9
11,9,Olivier Panis,PAN,BAR Honda,1:22.316,12
12,10,Jacques Villeneuve,VIL,BAR Honda,1:22.916,11
13,19,Pedro de la Rosa,DLR,Jaguar Cosworth,1:23.273,12
14,22,Jean Alesi,ALE,Prost Acer,1:23.392,12
15,18,Eddie Irvine,IRV,Jaguar Cosworth,1:23.439,11
16,23,Luciano Burti,BUR,Prost Acer,1:23.735,12
17,14,Jos Verstappen,VER,Arrows Asiatech,1:24.067,12
18,8,Jenson Button,BUT,Benetton Renault,1:24.123,12
19,7,Giancarlo Fisichella,FIS,Benetton Renault,1:24.275,12
20,15,Enrique Bernoldi,BER,Arrows Asiatech,1:24.606,10
21,21,Fernando Alonso,ALO,Minardi European,1:24.792,12
NC,20,Tarso Marques,MAR,Minardi European,1:26.506,12
