Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,4,David Coulthard,COU,McLaren Mercedes,1:17.430,12
2,1,Michael Schumacher,MSC,Ferrari,1:17.631,11
3,3,Mika Hakkinen,HAK,McLaren Mercedes,1:17.749,12
4,2,Rubens Barrichello,BAR,Ferrari,1:17.856,12
5,5,Ralf Schumacher,RSC,Williams BMW,1:18.029,11
6,18,Eddie Irvine,IRV,Jaguar Cosworth,1:18.432,12
7,6,Juan Pablo Montoya,MOY,Williams BMW,1:18.751,12
8,12,Jarno Trulli,TRU,Jordan Honda,1:18.921,12
9,10,Jacques Villeneuve,VIL,BAR Honda,1:19.086,12
10,7,Giancarlo Fisichella,FIS,Benetton Renault,1:19.220,11
11,22,Jean Alesi,ALE,Prost Acer,1:19.245,12
12,9,Olivier Panis,PAN,BAR Honda,1:19.294,12
13,11,Heinz-Harald Frentzen,FRE,Jordan Honda,1:19.316,11
14,19,Pedro de la Rosa,DLR,Jaguar Cosworth,1:20.033,12
15,17,Kimi Räikkönen,RAI,Sauber Petronas,1:20.081,12
16,16,Nick Heidfeld,HEI,Sauber Petronas,1:20.261,12
17,8,Jenson Button,BUT,Benetton Renault,1:20.342,12
18,21,Fernando Alonso,ALO,Minardi European,1:20.788,12
19,14,Jos Verstappen,VER,Arrows Asiatech,1:20.823,12
20,15,Enrique Bernoldi,BER,Arrows Asiatech,1:21.336,11
21,23,Luciano Burti,BUR,Prost Acer,1:21.771,12
22,20,Tarso Marques,MAR,Minardi European,1:22.201,12
