Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:43.726,9
2,4,Kimi Räikkönen,RAI,McLaren Mercedes,1:44.150,12
3,2,Rubens Barrichello,BAR,Ferrari,1:44.335,12
4,5,Ralf Schumacher,RSC,Williams BMW,1:44.348,12
5,6,Juan Pablo Montoya,MOY,Williams BMW,1:44.634,12
6,3,David Coulthard,COU,McLaren Mercedes,1:44.759,12
7,14,Jarno Trulli,TRU,Renault,1:45.386,11
8,16,Eddie Irvine,IRV,Jaguar Cosworth,1:45.865,12
9,24,Mika Salo,SAL,Toyota,1:45.880,12
10,15,Jenson Button,BUT,Renault,1:45.972,12
11,17,Pedro de la Rosa,DLR,Jaguar Cosworth,1:46.056,10
12,11,Jacques Villeneuve,VIL,BAR Honda,1:46.403,11
13,25,Allan McNish,MCN,Toyota,1:46.485,12
14,9,Giancarlo Fisichella,FIS,Jordan Honda,1:46.508,11
15,12,Olivier Panis,PAN,BAR Honda,1:46.553,10
16,10,Takuma Sato,SAT,Jordan Honda,1:46.875,12
17,8,Felipe Massa,MAS,Sauber Petronas,1:46.896,12
18,7,Nick Heidfeld,HEI,Sauber Petronas,1:47.272,10
19,23,Mark Webber,WEB,Minardi Asiatech,1:47.562,12
20,22,Anthony Davidson,DAV,Minardi Asiatech,1:48.170,11
