Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,6,Kimi Räikkönen,RAI,McLaren Mercedes,1:31.523,3
2,1,Michael Schumacher,MSC,Ferrari,1:31.555,3
3,4,Ralf Schumacher,RSC,Williams BMW,1:31.619,3
4,3,Juan Pablo Montoya,MOY,Williams BMW,1:31.765,3
5,2,Rubens Barrichello,BAR,Ferrari,1:31.780,3
6,7,Jarno Trulli,TRU,Renault,1:31.976,3
7,20,Olivier Panis,PAN,Toyota,1:32.350,3
8,8,Fernando Alonso,ALO,Renault,1:32.424,3
9,5,David Coulthard,COU,McLaren Mercedes,1:32.742,3
10,21,Cristiano da Matta,DAM,Toyota,1:32.949,3
11,14,Mark Webber,WEB,Jaguar Cosworth,1:33.066,3
12,17,Jenson Button,BUT,BAR Honda,1:33.395,3
13,11,Giancarlo Fisichella,FIS,Jordan Ford,1:33.553,3
14,12,Ralph Firman,FIR,Jordan Ford,1:33.827,3
15,10,Heinz-Harald Frentzen,FRE,Sauber Petronas,1:34.000,3
16,15,Antonio Pizzonia,PIZ,Jaguar Cosworth,1:34.159,3
17,16,Jacques Villeneuve,VIL,BAR Honda,1:34.596,3
18,19,Jos Verstappen,VER,Minardi Cosworth,1:36.318,3
19,18,Justin Wilson,WIL,Minardi Cosworth,1:36.485,3
20,9,Nick Heidfeld,HEI,Sauber Petronas,No Time,2
