Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,3,Juan Pablo Montoya,MOY,Williams BMW,1:15.167,3
2,4,Ralf Schumacher,RSC,Williams BMW,1:15.185,3
3,2,Rubens Barrichello,BAR,Ferrari,1:15.488,3
4,7,Jarno Trulli,TRU,Renault,1:15.679,3
5,6,Kimi Räikkönen,RAI,McLaren Mercedes,1:15.874,3
6,1,Michael Schumacher,MSC,Ferrari,1:15.898,3
7,20,Olivier Panis,PAN,Toyota,1:16.034,3
8,8,Fernando Alonso,ALO,Renault,1:16.483,3
9,21,Cristiano da Matta,DAM,Toyota,1:16.550,3
10,5,David Coulthard,COU,McLaren Mercedes,1:16.666,3
11,14,Mark Webber,WEB,Jaguar Cosworth,1:16.775,3
12,11,Giancarlo Fisichella,FIS,Jordan Ford,1:16.831,3
13,16,Jacques Villeneuve,VIL,BAR Honda,1:17.090,3
14,10,Heinz-Harald Frentzen,FRE,Sauber Petronas,1:17.169,3
15,9,Nick Heidfeld,HEI,Sauber Petronas,1:17.557,3
16,15,Justin Wilson,WIL,Jaguar Cosworth,1:18.021,3
17,17,Jenson Button,BUT,BAR Honda,1:18.085,3
18,12,Ralph Firman,FIR,Jordan Ford,1:18.341,3
19,19,Jos Verstappen,VER,Minardi Cosworth,1:19.023,3
20,18,Nicolas Kiesa,KIE,Minardi Cosworth,1:19.174,3
