Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,4,Ralf Schumacher,RSC,Williams BMW,60,1:34:43.622,10
2,3,Juan Pablo Montoya,MOY,Williams BMW,60,+16.821s,8
3,2,Rubens Barrichello,BAR,Ferrari,60,+39.673s,6
4,8,Fernando Alonso,ALO,Renault,60,+65.731s,5
5,1,Michael Schumacher,MSC,Ferrari,60,+66.162s,4
6,14,Mark Webber,WEB,Jaguar Cosworth,59,+1 lap,3
7,17,Jenson Button,BUT,BAR Honda,59,+1 lap,2
8,9,Nick Heidfeld,HEI,Sauber Petronas,59,+1 lap,1
9,10,Heinz-Harald Frentzen,FRE,Sauber Petronas,59,+1 lap,0
10,15,Antonio Pizzonia,PIZ,Jaguar Cosworth,59,+1 lap,0
11,12,Ralph Firman,FIR,Jordan Ford,58,+2 laps,0
12,11,Giancarlo Fisichella,FIS,Jordan Ford,58,+2 laps,0
13,18,Justin Wilson,WIL,Minardi Cosworth,58,+2 laps,0
14,19,Jos Verstappen,VER,Minardi Cosworth,57,+3 laps,0
15,5,David Coulthard,COU,McLaren Mercedes,56,DNF,0
NC,21,Cristiano da Matta,DAM,Toyota,53,DNF,0
NC,16,Jacques Villeneuve,VIL,BAR Honda,51,DNF,0
NC,7,Jarno Trulli,TRU,Renault,37,DNF,0
NC,20,Olivier Panis,PAN,Toyota,37,DNF,0
NC,6,Kimi Räikkönen,RAI,McLaren Mercedes,25,DNF,0
