Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:24.408,6
2,2,Rubens Barrichello,BAR,Ferrari,1:24.482,6
3,3,Juan Pablo Montoya,MOY,Williams BMW,1:24.998,6
4,9,Jenson Button,BUT,BAR Honda,1:24.998,6
5,8,Fernando Alonso,ALO,Renault,1:25.699,6
6,14,Mark Webber,WEB,Jaguar Cosworth,1:25.805,6
7,10,Takuma Sato,SAT,BAR Honda,1:25.851,6
8,4,Ralf Schumacher,RSC,Williams BMW,1:25.925,6
9,7,Jarno Trulli,TRU,Renault,1:26.290,6
10,6,Kimi Räikkönen,RAI,McLaren Mercedes,1:26.297,6
11,12,Felipe Massa,MAS,Sauber Petronas,1:27.065,6
12,5,David Coulthard,COU,McLaren Mercedes,1:27.294,6
13,16,Cristiano da Matta,DAM,Toyota,1:27.823,6
14,11,Giancarlo Fisichella,FIS,Sauber Petronas,1:27.845,6
15,18,Nick Heidfeld,HEI,Jordan Ford,1:28.178,6
16,19,Giorgio Pantano,PAN,Jordan Ford,1:30.140,6
17,21,Zsolt Baumgartner,BAU,Minardi Cosworth,1:30.681,6
18,17,Olivier Panis,PAN,Toyota,1:27.253,3
19,15,Christian Klien,KLI,Jaguar Cosworth,1:27.258,4
20,20,Gianmaria Bruni,BRU,Minardi Cosworth,1:30.912,3
