Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,9,Jenson Button,BUT,BAR Honda,1:19.753,6
2,1,Michael Schumacher,MSC,Ferrari,1:20.011,6
3,3,Juan Pablo Montoya,MOY,Williams BMW,1:20.212,6
4,2,Rubens Barrichello,BAR,Ferrari,1:20.451,6
5,4,Ralf Schumacher,RSC,Williams BMW,1:20.538,6
6,8,Fernando Alonso,ALO,Renault,1:20.895,6
7,10,Takuma Sato,SAT,BAR Honda,1:20.913,6
8,14,Mark Webber,WEB,Jaguar Cosworth,1:20.921,6
9,7,Jarno Trulli,TRU,Renault,1:21.034,6
10,16,Cristiano da Matta,DAM,Toyota,1:21.087,6
11,5,David Coulthard,COU,McLaren Mercedes,1:21.091,6
12,12,Felipe Massa,MAS,Sauber Petronas,1:21.532,6
13,17,Olivier Panis,PAN,Toyota,1:21.558,6
14,15,Christian Klien,KLI,Jaguar Cosworth,1:21.949,6
15,19,Giorgio Pantano,PAN,Jordan Ford,1:23.352,6
16,18,Nick Heidfeld,HEI,Jordan Ford,1:23.488,6
17,20,Gianmaria Bruni,BRU,Minardi Cosworth,1:26.899,6
18,21,Zsolt Baumgartner,BAU,Minardi Cosworth,1:46.299,6
19,11,Giancarlo Fisichella,FIS,Sauber Petronas,1:20.716,3
20,6,Kimi Räikkönen,RAI,McLaren Mercedes,1:21.181,4
