Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:30.139,6
2,2,Rubens Barrichello,BAR,Ferrari,1:30.530,6
3,3,Juan Pablo Montoya,MOY,Williams BMW,1:30.581,6
4,4,Ralf Schumacher,RSC,Williams BMW,1:30.633,6
5,10,Takuma Sato,SAT,BAR Honda,1:30.827,6
6,9,Jenson Button,BUT,BAR Honda,1:30.856,6
7,7,Jarno Trulli,TRU,Renault,1:30.971,6
8,17,Olivier Panis,PAN,Toyota,1:31.686,6
9,16,Cristiano da Matta,DAM,Toyota,1:31.717,6
10,5,David Coulthard,COU,McLaren Mercedes,1:31.719,6
11,11,Giancarlo Fisichella,FIS,Sauber Petronas,1:31.731,6
12,15,Christian Klien,KLI,Jaguar Cosworth,1:32.332,6
13,12,Felipe Massa,MAS,Sauber Petronas,1:32.536,6
14,14,Mark Webber,WEB,Jaguar Cosworth,1:32.625,6
15,18,Nick Heidfeld,HEI,Jordan Ford,1:33.506,6
16,19,Giorgio Pantano,PAN,Jordan Ford,1:34.105,6
17,8,Fernando Alonso,ALO,Renault,1:34.130,6
18,20,Gianmaria Bruni,BRU,Minardi Cosworth,1:34.584,6
19,21,Zsolt Baumgartner,BAU,Minardi Cosworth,1:35.787,6
20,6,Kimi Räikkönen,RAI,McLaren Mercedes,1:30.353,4
