Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,2,Rubens Barrichello,BAR,Ferrari,1:34.012,6
2,6,Kimi Räikkönen,RAI,McLaren Mercedes,1:34.178,6
3,9,Jenson Button,BUT,BAR Honda,1:34.295,6
4,12,Felipe Massa,MAS,Sauber Petronas,1:34.759,6
5,4,Ralf Schumacher,RSC,Williams BMW,1:34.891,6
6,8,Fernando Alonso,ALO,Renault,1:34.917,6
7,11,Giancarlo Fisichella,FIS,Sauber Petronas,1:34.951,6
8,17,Olivier Panis,PAN,Toyota,1:34.975,6
9,10,Takuma Sato,SAT,BAR Honda,1:34.993,6
10,5,David Coulthard,COU,McLaren Mercedes,1:35.029,6
11,3,Juan Pablo Montoya,MOY,Williams BMW,1:35.245,6
12,14,Mark Webber,WEB,Jaguar Cosworth,1:35.286,6
13,7,Jacques Villeneuve,VIL,Renault,1:35.384,6
14,16,Ricardo Zonta,ZON,Toyota,1:35.410,6
15,18,Nick Heidfeld,HEI,Jordan Ford,1:36.507,6
16,15,Christian Klien,KLI,Jaguar Cosworth,1:36.535,6
17,19,Timo Glock,GLO,Jordan Ford,1:37.140,6
18,21,Zsolt Baumgartner,BAU,Minardi Cosworth,1:40.240,6
19,1,Michael Schumacher,MSC,Ferrari,1:33.185,5
20,20,Gianmaria Bruni,BRU,Minardi Cosworth,1:36.623,5
