Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,1,Michael Schumacher,MSC,Ferrari,73,1:40:29.914,10
2,2,Rubens Barrichello,BAR,Ferrari,73,+2.950s,8
3,10,Takuma Sato,SAT,BAR Honda,73,+22.036s,6
4,7,Jarno Trulli,TRU,Renault,73,+34.544s,5
5,17,Olivier Panis,PAN,Toyota,73,+37.534s,4
6,6,Kimi Räikkönen,RAI,McLaren Mercedes,72,+1 lap,3
7,5,David Coulthard,COU,McLaren Mercedes,72,+1 lap,2
8,21,Zsolt Baumgartner,BAU,Minardi Cosworth,70,+3 laps,1
9,11,Giancarlo Fisichella,FIS,Sauber Petronas,65,DNF,0
NC,14,Mark Webber,WEB,Jaguar Cosworth,60,DNF,0
NC,18,Nick Heidfeld,HEI,Jordan Ford,43,DNF,0
NC,9,Jenson Button,BUT,BAR Honda,26,DNF,0
NC,16,Cristiano da Matta,DAM,Toyota,17,DNF,0
NC,4,Ralf Schumacher,RSC,Williams BMW,9,DNF,0
NC,8,Fernando Alonso,ALO,Renault,8,DNF,0
NC,15,Christian Klien,KLI,Jaguar Cosworth,0,DNF,0
NC,12,Felipe Massa,MAS,Sauber Petronas,0,DNF,0
NC,19,Giorgio Pantano,PAN,Jordan Ford,0,DNF,0
NC,20,Gianmaria Bruni,BRU,Minardi Cosworth,0,DNF,0
