Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,5,Fernando Alonso,ALO,Renault,3:01.902,6
2,1,Michael Schumacher,MSC,Ferrari,3:02.357,6
3,16,Jarno Trulli,TRU,Toyota,3:02.660,6
4,8,Nick Heidfeld,HEI,Williams BMW,3:03.217,6
5,7,Mark Webber,WEB,Williams BMW,3:03.262,6
6,17,Ralf Schumacher,RSC,Toyota,3:03.271,6
7,15,Christian Klien,KLI,RBR Cosworth,3:03.369,6
8,10,Pedro de la Rosa,DLR,McLaren Mercedes,3:03.373,6
9,9,Kimi Räikkönen,RAI,McLaren Mercedes,3:03.524,6
10,6,Giancarlo Fisichella,FIS,Renault,3:03.765,6
11,3,Jenson Button,BUT,BAR Honda,3:04.348,6
12,12,Felipe Massa,MAS,Sauber Petronas,3:05.202,6
13,4,Takuma Sato,SAT,BAR Honda,3:05.563,6
14,14,David Coulthard,COU,RBR Cosworth,3:05.844,6
15,2,Rubens Barrichello,BAR,Ferrari,3:07.693,6
16,11,Jacques Villeneuve,VIL,Sauber Petronas,3:07.983,6
17,18,Tiago Monteiro,MON,Jordan Toyota,3:09.428,6
18,19,Narain Karthikeyan,KAR,Jordan Toyota,3:10.143,6
19,21,Christijan Albers,ALB,Minardi Cosworth,3:10.422,6
20,20,Patrick Friesacher,FRI,Minardi Cosworth,3:11.261,6
