Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,1,Michael Schumacher,MSC,Ferrari,1:19.882,3
2,10,Juan Pablo Montoya,MOY,McLaren Mercedes,1:20.779,3
3,16,Jarno Trulli,TRU,Toyota,1:20.839,3
4,9,Kimi Räikkönen,RAI,McLaren Mercedes,1:20.891,3
5,17,Ralf Schumacher,RSC,Toyota,1:20.964,3
6,5,Fernando Alonso,ALO,Renault,1:21.141,3
7,2,Rubens Barrichello,BAR,Ferrari,1:21.158,3
8,3,Jenson Button,BUT,BAR Honda,1:21.302,3
9,6,Giancarlo Fisichella,FIS,Renault,1:21.333,3
10,4,Takuma Sato,SAT,BAR Honda,1:21.787,3
11,15,Christian Klien,KLI,RBR Cosworth,1:21.937,3
12,8,Nick Heidfeld,HEI,Williams BMW,1:22.086,3
13,14,David Coulthard,COU,RBR Cosworth,1:22.279,3
14,12,Felipe Massa,MAS,Sauber Petronas,1:22.565,3
15,11,Jacques Villeneuve,VIL,Sauber Petronas,1:22.866,3
16,7,Mark Webber,WEB,Williams BMW,1:23.495,3
17,21,Christijan Albers,ALB,Minardi Cosworth,1:24.443,3
18,19,Narain Karthikeyan,KAR,Jordan Toyota,1:25.057,3
19,20,Robert Doornbos,DOO,Minardi Cosworth,1:25.484,3
20,18,Tiago Monteiro,MON,Jordan Toyota,No Time,1
