Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,9,Kimi Räikkönen,RAI,McLaren Mercedes,1:26.797,3
2,6,Giancarlo Fisichella,FIS,Renault,1:27.039,3
3,5,Fernando Alonso,ALO,Renault,1:27.050,3
4,10,Juan Pablo Montoya,MOY,McLaren Mercedes,1:27.352,3
5,16,Jarno Trulli,TRU,Toyota,1:27.501,3
6,8,Nick Heidfeld,HEI,Williams BMW,1:27.929,3
7,7,Mark Webber,WEB,Williams BMW,1:27.944,3
8,12,Felipe Massa,MAS,Sauber Petronas,1:28.419,3
9,17,Ralf Schumacher,RSC,Toyota,1:28.594,3
10,15,Christian Klien,KLI,RBR Cosworth,1:28.963,3
11,2,Rubens Barrichello,BAR,Ferrari,1:29.369,3
12,14,David Coulthard,COU,RBR Cosworth,1:29.764,3
13,3,Jenson Button,BUT,BAR Honda,1:30.063,3
14,18,Tiago Monteiro,MON,Jordan Toyota,1:30.710,3
15,21,Christijan Albers,ALB,Minardi Cosworth,1:32.186,3
16,1,Michael Schumacher,MSC,Ferrari,No Time,2
17,11,Jacques Villeneuve,VIL,Sauber Petronas,No Time,2
18,19,Narain Karthikeyan,KAR,Jordan Toyota,No Time,1
19,20,Robert Doornbos,DOO,Minardi Cosworth,No Time,2
