Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,16,Jarno Trulli,TRU,Toyota,1:10.625,3
2,9,Kimi Räikkönen,RAI,McLaren Mercedes,1:10.694,3
3,3,Jenson Button,BUT,BAR Honda,1:11.277,3
4,6,Giancarlo Fisichella,FIS,Renault,1:11.290,3
5,1,Michael Schumacher,MSC,Ferrari,1:11.369,3
6,5,Fernando Alonso,ALO,Renault,1:11.380,3
7,2,Rubens Barrichello,BAR,Ferrari,1:11.431,3
8,4,Takuma Sato,SAT,BAR Honda,1:11.497,3
9,7,Mark Webber,WEB,Williams BMW,1:11.527,3
10,12,Felipe Massa,MAS,Sauber Petronas,1:11.555,3
11,10,Juan Pablo Montoya,MOY,McLaren Mercedes,1:11.681,3
12,11,Jacques Villeneuve,VIL,Sauber Petronas,1:11.691,3
13,17,Ricardo Zonta,ZON,Toyota,1:11.754,3
14,15,Christian Klien,KLI,RBR Cosworth,1:12.132,3
15,8,Nick Heidfeld,HEI,Williams BMW,1:12.430,3
16,14,David Coulthard,COU,RBR Cosworth,1:12.682,3
17,18,Tiago Monteiro,MON,Jordan Toyota,1:13.462,3
18,21,Christijan Albers,ALB,Minardi Cosworth,1:13.632,3
19,19,Narain Karthikeyan,KAR,Jordan Toyota,1:13.776,3
20,20,Patrick Friesacher,FRI,Minardi Cosworth,1:14.494,3
