Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,6,Giancarlo Fisichella,FIS,Renault,57,1:24:17.336,10
2,2,Rubens Barrichello,BAR,Ferrari,57,+5.553s,8
3,5,Fernando Alonso,ALO,Renault,57,+6.712s,6
4,14,David Coulthard,COU,RBR Cosworth,57,+16.131s,5
5,7,Mark Webber,WEB,Williams BMW,57,+16.908s,4
6,10,Juan Pablo Montoya,MOY,McLaren Mercedes,57,+35.033s,3
7,15,Christian Klien,KLI,RBR Cosworth,57,+38.997s,2
8,9,Kimi Räikkönen,RAI,McLaren Mercedes,57,+39.633s,1
9,16,Jarno Trulli,TRU,Toyota,57,+63.108s,0
10,12,Felipe Massa,MAS,Sauber Petronas,57,+64.393s,0
11,3,Jenson Button,BUT,BAR Honda,56,DNF,0
12,17,Ralf Schumacher,RSC,Toyota,56,+1 lap,0
13,11,Jacques Villeneuve,VIL,Sauber Petronas,56,+1 lap,0
14,4,Takuma Sato,SAT,BAR Honda,55,DNF,0
15,19,Narain Karthikeyan,KAR,Jordan Toyota,55,+2 laps,0
16,18,Tiago Monteiro,MON,Jordan Toyota,55,+2 laps,0
17,20,Patrick Friesacher,FRI,Minardi Cosworth,53,+4 laps,0
NC,1,Michael Schumacher,MSC,Ferrari,42,DNF,0
NC,8,Nick Heidfeld,HEI,Williams BMW,42,DNF,0
NC,21,Christijan Albers,ALB,Minardi Cosworth,16,DNF,0
