Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,44,Lewis Hamilton,HAM,Mercedes,1:34.822,1:33.437,1:33.108,18
2,5,Sebastian Vettel,VET,Ferrari,1:35.420,1:34.103,1:33.347,18
3,77,Valtteri Bottas,BOT,Mercedes,1:35.309,1:33.769,1:33.568,17
4,3,Daniel Ricciardo,RIC,Red Bull Racing TAG Heuer,1:35.991,1:34.495,1:33.577,14
5,7,Kimi Räikkönen,RAI,Ferrari,1:35.649,1:33.840,1:33.577,17
6,33,Max Verstappen,VER,Red Bull Racing TAG Heuer,1:34.899,1:34.716,1:33.658,13
7,31,Esteban Ocon,OCO,Force India Mercedes,1:35.849,1:35.113,1:34.647,17
8,55,Carlos Sainz,SAI,Renault,1:35.517,1:34.899,1:34.852,17
9,14,Fernando Alonso,ALO,McLaren Honda,1:35.712,1:35.046,1:35.007,15
10,11,Sergio Perez,PER,Force India Mercedes,1:36.358,1:34.789,1:35.148,19
11,19,Felipe Massa,MAS,Williams Mercedes,1:35.603,1:35.155,DNQ,9
12,26,Daniil Kvyat,KVY,Toro Rosso,1:36.073,1:35.529,DNQ,15
13,2,Stoffel Vandoorne,VAN,McLaren Honda,1:36.286,1:35.641,DNQ,14
14,8,Romain Grosjean,GRO,Haas Ferrari,1:36.835,1:35.870,DNQ,14
15,27,Nico Hulkenberg,HUL,Renault,1:35.740,DNQ,DNQ,3
16,9,Marcus Ericsson,ERI,Sauber Ferrari,1:36.842,DNQ,DNQ,9
17,18,Lance Stroll,STR,Williams Mercedes,1:36.868,DNQ,DNQ,8
18,39,Brendon Hartley,HAR,Toro Rosso,1:36.889,DNQ,DNQ,7
19,94,Pascal Wehrlein,WEH,Sauber Ferrari,1:37.179,DNQ,DNQ,9
20,20,Kevin Magnussen,MAG,Haas Ferrari,1:37.394,DNQ,DNQ,7
