Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,44,Lewis Hamilton,HAM,Mercedes,1:41.983,1:41.275,1:40.593,20
2,77,Valtteri Bottas,BOT,Mercedes,1:43.026,1:41.502,1:41.027,23
3,7,Kimi Räikkönen,RAI,Ferrari,1:42.678,1:42.090,1:41.693,23
4,5,Sebastian Vettel,VET,Ferrari,1:42.952,1:41.911,1:41.841,23
5,33,Max Verstappen,VER,Red Bull Racing TAG Heuer,1:42.544,1:41.961,1:41.879,22
6,11,Sergio Perez,PER,Force India Mercedes,1:43.162,1:42.467,1:42.111,21
7,31,Esteban Ocon,OCO,Force India Mercedes,1:43.051,1:42.751,1:42.186,21
8,18,Lance Stroll,STR,Williams Mercedes,1:43.613,1:42.284,1:42.753,21
9,19,Felipe Massa,MAS,Williams Mercedes,1:43.165,1:42.735,1:42.798,22
10,3,Daniel Ricciardo,RIC,Red Bull Racing TAG Heuer,1:42.857,1:42.215,1:43.414,20
11,26,Daniil Kvyat,KVY,Toro Rosso,1:42.927,1:43.186,DNQ,19
12,55,Carlos Sainz,SAI,Toro Rosso,1:43.489,1:43.347,DNQ,20
13,20,Kevin Magnussen,MAG,Haas Ferrari,1:44.029,1:43.796,DNQ,18
14,27,Nico Hulkenberg,HUL,Renault,1:43.930,1:44.267,DNQ,12
15,94,Pascal Wehrlein,WEH,Sauber Ferrari,1:44.317,1:44.603,DNQ,18
16,14,Fernando Alonso,ALO,McLaren Honda,1:44.334,DNQ,DNQ,9
17,8,Romain Grosjean,GRO,Haas Ferrari,1:44.468,DNQ,DNQ,10
18,9,Marcus Ericsson,ERI,Sauber Ferrari,1:44.795,DNQ,DNQ,10
19,2,Stoffel Vandoorne,VAN,McLaren Honda,1:45.030,DNQ,DNQ,8
