Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,5,Sebastian Vettel,VET,Ferrari,1:43.336,1:40.529,1:39.491,19
2,33,Max Verstappen,VER,Red Bull Racing TAG Heuer,1:42.010,1:40.332,1:39.814,18
3,3,Daniel Ricciardo,RIC,Red Bull Racing TAG Heuer,1:42.063,1:40.385,1:39.840,18
4,7,Kimi Räikkönen,RAI,Ferrari,1:43.328,1:40.525,1:40.069,18
5,44,Lewis Hamilton,HAM,Mercedes,1:42.455,1:40.577,1:40.126,17
6,77,Valtteri Bottas,BOT,Mercedes,1:43.137,1:41.409,1:40.810,16
7,27,Nico Hulkenberg,HUL,Renault,1:42.586,1:41.277,1:41.013,18
8,14,Fernando Alonso,ALO,McLaren Honda,1:42.086,1:41.442,1:41.179,20
9,2,Stoffel Vandoorne,VAN,McLaren Honda,1:42.222,1:41.227,1:41.398,19
10,55,Carlos Sainz,SAI,Toro Rosso,1:42.176,1:41.826,1:42.056,20
11,30,Jolyon Palmer,PAL,Renault,1:42.472,1:42.107,DNQ,12
12,11,Sergio Perez,PER,Force India Mercedes,1:43.594,1:42.246,DNQ,8
13,26,Daniil Kvyat,KVY,Toro Rosso,1:42.544,1:42.338,DNQ,14
14,31,Esteban Ocon,OCO,Force India Mercedes,1:43.626,1:42.760,DNQ,11
15,8,Romain Grosjean,GRO,Haas Ferrari,1:43.627,1:43.883,DNQ,13
16,20,Kevin Magnussen,MAG,Haas Ferrari,1:43.756,DNQ,DNQ,8
17,19,Felipe Massa,MAS,Williams Mercedes,1:44.014,DNQ,DNQ,6
18,18,Lance Stroll,STR,Williams Mercedes,1:44.728,DNQ,DNQ,9
19,94,Pascal Wehrlein,WEH,Sauber Ferrari,1:45.059,DNQ,DNQ,9
20,9,Marcus Ericsson,ERI,Sauber Ferrari,1:45.570,DNQ,DNQ,6
