Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,77,Valtteri Bottas,BOT,Mercedes,1:32.964,1:32.744,1:31.387,17
2,44,Lewis Hamilton,HAM,Mercedes,1:32.410,1:32.595,1:31.532,18
3,5,Sebastian Vettel,VET,Ferrari,1:33.476,1:33.045,1:31.943,18
4,7,Kimi Räikkönen,RAI,Ferrari,1:33.341,1:33.065,1:32.237,18
5,20,Kevin Magnussen,MAG,Haas Ferrari,1:34.078,1:33.747,1:33.181,15
6,31,Esteban Ocon,OCO,Force India Mercedes,1:34.290,1:33.596,1:33.413,17
7,16,Charles Leclerc,LEC,Sauber Ferrari,1:33.924,1:33.488,1:33.419,17
8,11,Sergio Perez,PER,Force India Mercedes,1:34.084,1:33.923,1:33.563,16
9,8,Romain Grosjean,GRO,Haas Ferrari,1:34.022,1:33.517,1:33.704,17
10,9,Marcus Ericsson,ERI,Sauber Ferrari,1:34.170,1:33.995,1:35.196,17
11,33,Max Verstappen,VER,Red Bull Racing TAG Heuer,1:33.048,DNQ,DNQ,5
12,3,Daniel Ricciardo,RIC,Red Bull Racing TAG Heuer,1:33.247,DNQ,DNQ,4
13,10,Pierre Gasly,GAS,Scuderia Toro Rosso Honda,1:34.383,DNQ,DNQ,8
14,55,Carlos Sainz,SAI,Renault,1:34.626,DNQ,DNQ,6
15,27,Nico Hulkenberg,HUL,Renault,1:34.655,DNQ,DNQ,6
16,28,Brendon Hartley,HAR,Scuderia Toro Rosso Honda,1:35.037,DNQ,DNQ,7
17,14,Fernando Alonso,ALO,McLaren Renault,1:35.504,DNQ,DNQ,6
18,35,Sergey Sirotkin,SIR,Williams Mercedes,1:35.612,DNQ,DNQ,6
19,2,Stoffel Vandoorne,VAN,McLaren Renault,1:35.977,DNQ,DNQ,6
20,18,Lance Stroll,STR,Williams Mercedes,1:36.437,DNQ,DNQ,7
