Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,44,Lewis Hamilton,HAM,Mercedes,1:42.977,1:41.553,1:58.179,19
2,5,Sebastian Vettel,VET,Ferrari,1:43.035,1:41.501,1:58.905,18
3,31,Esteban Ocon,OCO,Force India Mercedes,1:44.003,1:43.302,2:01.851,16
4,11,Sergio Perez,PER,Force India Mercedes,1:44.004,1:43.014,2:01.894,14
5,8,Romain Grosjean,GRO,Haas Ferrari,1:43.597,1:43.042,2:02.122,20
6,7,Kimi Räikkönen,RAI,Ferrari,1:42.585,1:41.533,2:02.671,13
7,33,Max Verstappen,VER,Red Bull Racing TAG Heuer,1:43.199,1:42.554,2:02.769,11
8,3,Daniel Ricciardo,RIC,Red Bull Racing TAG Heuer,1:43.604,1:43.126,2:02.939,16
9,20,Kevin Magnussen,MAG,Haas Ferrari,1:43.834,1:43.320,2:04.933,19
10,77,Valtteri Bottas,BOT,Mercedes,1:42.805,1:42.191,DNS,7
11,10,Pierre Gasly,GAS,Scuderia Toro Rosso Honda,1:44.221,1:43.844,DNQ,14
12,28,Brendon Hartley,HAR,Scuderia Toro Rosso Honda,1:44.153,1:43.865,DNQ,13
13,16,Charles Leclerc,LEC,Sauber Ferrari,1:43.654,1:44.062,DNQ,14
14,9,Marcus Ericsson,ERI,Sauber Ferrari,1:43.846,1:44.301,DNQ,11
15,27,Nico Hulkenberg,HUL,Renault,1:44.145,DNQ,DNQ,3
16,55,Carlos Sainz,SAI,Renault,1:44.489,DNQ,DNQ,6
17,14,Fernando Alonso,ALO,McLaren Renault,1:44.917,DNQ,DNQ,6
18,35,Sergey Sirotkin,SIR,Williams Mercedes,1:44.998,DNQ,DNQ,6
19,18,Lance Stroll,STR,Williams Mercedes,1:45.134,DNQ,DNQ,6
20,2,Stoffel Vandoorne,VAN,McLaren Renault,1:45.307,DNQ,DNQ,8
