Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,5,Sebastian Vettel,VET,Ferrari,1:32.171,1:32.385,1:31.095,15
2,7,Kimi Räikkönen,RAI,Ferrari,1:32.474,1:32.286,1:31.182,17
3,77,Valtteri Bottas,BOT,Mercedes,1:32.921,1:32.063,1:31.625,20
4,44,Lewis Hamilton,HAM,Mercedes,1:33.283,1:31.914,1:31.675,17
5,33,Max Verstappen,VER,Red Bull Racing TAG Heuer,1:32.932,1:32.809,1:31.796,12
6,3,Daniel Ricciardo,RIC,Red Bull Racing TAG Heuer,1:33.877,1:32.688,1:31.948,12
7,27,Nico Hulkenberg,HUL,Renault,1:33.545,1:32.494,1:32.532,15
8,11,Sergio Perez,PER,Force India Mercedes,1:33.464,1:32.931,1:32.758,13
9,55,Carlos Sainz,SAI,Renault,1:33.315,1:32.970,1:32.819,18
10,8,Romain Grosjean,GRO,Haas Ferrari,1:33.238,1:32.524,1:32.855,19
11,20,Kevin Magnussen,MAG,Haas Ferrari,1:33.359,1:32.986,DNQ,13
12,31,Esteban Ocon,OCO,Force India Mercedes,1:33.585,1:33.057,DNQ,9
13,14,Fernando Alonso,ALO,McLaren Renault,1:33.428,1:33.232,DNQ,11
14,2,Stoffel Vandoorne,VAN,McLaren Renault,1:33.824,1:33.505,DNQ,11
15,28,Brendon Hartley,HAR,Scuderia Toro Rosso Honda,1:34.013,1:33.795,DNQ,15
16,35,Sergey Sirotkin,SIR,Williams Mercedes,1:34.062,DNQ,DNQ,7
17,10,Pierre Gasly,GAS,Scuderia Toro Rosso Honda,1:34.101,DNQ,DNQ,9
18,18,Lance Stroll,STR,Williams Mercedes,1:34.285,DNQ,DNQ,7
19,16,Charles Leclerc,LEC,Sauber Ferrari,1:34.454,DNQ,DNQ,9
20,9,Marcus Ericsson,ERI,Sauber Ferrari,1:34.914,DNQ,DNQ,9
