Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,44,Lewis Hamilton,HAM,Mercedes,51,1:43:44.291,25
2,7,Kimi Räikkönen,RAI,Ferrari,51,+2.460s,18
3,11,Sergio Perez,PER,Force India Mercedes,51,+4.024s,15
4,5,Sebastian Vettel,VET,Ferrari,51,+5.329s,12
5,55,Carlos Sainz,SAI,Renault,51,+7.515s,10
6,16,Charles Leclerc,LEC,Sauber Ferrari,51,+9.158s,8
7,14,Fernando Alonso,ALO,McLaren Renault,51,+10.931s,6
8,18,Lance Stroll,STR,Williams Mercedes,51,+12.546s,4
9,2,Stoffel Vandoorne,VAN,McLaren Renault,51,+14.152s,2
10,28,Brendon Hartley,HAR,Scuderia Toro Rosso Honda,51,+18.030s,1
11,9,Marcus Ericsson,ERI,Sauber Ferrari,51,+18.512s,0
12,10,Pierre Gasly,GAS,Scuderia Toro Rosso Honda,51,+24.720s,0
13,20,Kevin Magnussen,MAG,Haas Ferrari,51,+40.663s,0
14,77,Valtteri Bottas,BOT,Mercedes,48,DNF,0
NC,8,Romain Grosjean,GRO,Haas Ferrari,42,DNF,0
NC,33,Max Verstappen,VER,Red Bull Racing TAG Heuer,39,DNF,0
NC,3,Daniel Ricciardo,RIC,Red Bull Racing TAG Heuer,39,DNF,0
NC,27,Nico Hulkenberg,HUL,Renault,10,DNF,0
NC,31,Esteban Ocon,OCO,Force India Mercedes,0,DNF,0
NC,35,Sergey Sirotkin,SIR,Williams Mercedes,0,DNF,0
