Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,77,Valtteri Bottas,BOT,Mercedes,1:25.750,1:25.672,1:25.093,21
2,44,Lewis Hamilton,HAM,Mercedes,1:25.513,1:25.840,1:25.099,17
3,16,Charles Leclerc,LEC,Ferrari,1:25.533,1:25.546,1:25.172,18
4,33,Max Verstappen,VER,Red Bull Racing Honda,1:25.700,1:25.848,1:25.276,21
5,10,Pierre Gasly,GAS,Red Bull Racing Honda,1:26.273,1:26.038,1:25.590,21
6,5,Sebastian Vettel,VET,Ferrari,1:25.898,1:26.023,1:25.787,19
7,3,Daniel Ricciardo,RIC,Renault,1:26.428,1:26.283,1:26.182,21
8,4,Lando Norris,NOR,McLaren Renault,1:26.079,1:26.385,1:26.224,21
9,23,Alexander Albon,ALB,Scuderia Toro Rosso Honda,1:26.482,1:26.403,1:26.345,24
10,27,Nico Hulkenberg,HUL,Renault,1:26.568,1:26.397,1:26.386,21
11,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:26.449,1:26.519,DNQ,18
12,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:26.558,1:26.546,DNQ,18
13,55,Carlos Sainz,SAI,McLaren Renault,1:26.203,1:26.578,DNQ,15
14,8,Romain Grosjean,GRO,Haas Ferrari,1:26.347,1:26.757,DNQ,17
15,11,Sergio Perez,PER,Racing Point BWT Mercedes,1:26.649,1:26.928,DNQ,14
16,20,Kevin Magnussen,MAG,Haas Ferrari,1:26.662,DNQ,DNQ,9
17,26,Daniil Kvyat,KVY,Scuderia Toro Rosso Honda,1:26.721,DNQ,DNQ,10
18,18,Lance Stroll,STR,Racing Point BWT Mercedes,1:26.762,DNQ,DNQ,9
19,63,George Russell,RUS,Williams Mercedes,1:27.789,DNQ,DNQ,9
20,88,Robert Kubica,KUB,Williams Mercedes,1:28.257,DNQ,DNQ,10
