Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,33,Max Verstappen,VER,Red Bull Racing Honda,1:15.949,1:16.136,1:14.758,16
2,16,Charles Leclerc,LEC,Ferrari,1:16.364,1:16.219,1:15.024,18
3,5,Sebastian Vettel,VET,Ferrari,1:16.696,1:15.914,1:15.170,18
4,44,Lewis Hamilton,HAM,Mercedes,1:16.424,1:15.721,1:15.262,20
5,23,Alexander Albon,ALB,Red Bull Racing Honda,1:16.175,1:16.574,1:15.336,18
6,77,Valtteri Bottas,BOT,Mercedes,1:17.062,1:15.852,1:15.338,18
7,55,Carlos Sainz,SAI,McLaren Renault,1:17.044,1:16.267,1:16.014,19
8,4,Lando Norris,NOR,McLaren Renault,1:17.092,1:16.447,1:16.322,20
9,26,Daniil Kvyat,KVY,Scuderia Toro Rosso Honda,1:17.041,1:16.657,1:16.469,22
10,10,Pierre Gasly,GAS,Scuderia Toro Rosso Honda,1:17.065,1:16.679,1:16.586,22
11,11,Sergio Perez,PER,Racing Point BWT Mercedes,1:17.465,1:16.687,DNQ,14
12,27,Nico Hulkenberg,HUL,Renault,1:17.608,1:16.885,DNQ,14
13,3,Daniel Ricciardo,RIC,Renault,1:17.270,1:16.933,DNQ,14
14,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:17.225,1:16.967,DNQ,14
15,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:17.794,1:17.269,DNQ,14
16,18,Lance Stroll,STR,Racing Point BWT Mercedes,1:18.065,DNQ,DNQ,8
17,20,Kevin Magnussen,MAG,Haas Ferrari,1:18.436,DNQ,DNQ,9
18,8,Romain Grosjean,GRO,Haas Ferrari,1:18.599,DNQ,DNQ,9
19,63,George Russell,RUS,Williams Mercedes,1:18.823,DNQ,DNQ,10
20,88,Robert Kubica,KUB,Williams Mercedes,1:20.179,DNQ,DNQ,9
