Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,77,Valtteri Bottas,BOT,Mercedes,1:42.026,1:41.500,1:40.495,20
2,44,Lewis Hamilton,HAM,Mercedes,1:41.614,1:41.580,1:40.554,21
3,5,Sebastian Vettel,VET,Ferrari,1:42.042,1:41.889,1:40.797,23
4,33,Max Verstappen,VER,Red Bull Racing Honda,1:41.727,1:41.388,1:41.069,15
5,11,Sergio Perez,PER,Racing Point BWT Mercedes,1:42.249,1:41.870,1:41.593,17
6,26,Daniil Kvyat,KVY,Scuderia Toro Rosso Honda,1:42.324,1:42.221,1:41.681,23
7,4,Lando Norris,NOR,McLaren Renault,1:42.371,1:42.084,1:41.886,23
8,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:42.140,1:42.381,1:42.424,21
NC,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:42.059,1:42.082,1:43.068,21
9,16,Charles Leclerc,LEC,Ferrari,1:41.426,1:41.995,DNQ,11
10,55,Carlos Sainz,SAI,McLaren Renault,1:41.936,1:42.398,DNQ,17
11,3,Daniel Ricciardo,RIC,Renault,1:42.486,1:42.477,DNQ,15
12,23,Alexander Albon,ALB,Scuderia Toro Rosso Honda,1:42.154,1:42.494,DNQ,18
13,20,Kevin Magnussen,MAG,Haas Ferrari,1:42.382,1:42.699,DNQ,16
NC,10,Pierre Gasly,GAS,Red Bull Racing Honda,1:41.335,DNQ,DNQ,5
14,18,Lance Stroll,STR,Racing Point BWT Mercedes,1:42.630,DNQ,DNQ,8
15,8,Romain Grosjean,GRO,Haas Ferrari,1:43.407,DNQ,DNQ,10
16,27,Nico Hulkenberg,HUL,Renault,1:43.427,DNQ,DNQ,8
17,63,George Russell,RUS,Williams Mercedes,1:45.062,DNQ,DNQ,9
18,88,Robert Kubica,KUB,Williams Mercedes,1:45.455,DNQ,DNQ,8
