Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,44,Lewis Hamilton,HAM,Mercedes,1:22.043,1:21.014,1:20.486,18
2,77,Valtteri Bottas,BOT,Mercedes,1:22.367,1:21.193,1:20.598,19
3,5,Sebastian Vettel,VET,Ferrari,1:22.885,1:21.912,1:21.190,16
4,33,Max Verstappen,VER,Red Bull Racing Honda,1:22.876,1:21.678,1:21.320,17
5,16,Charles Leclerc,LEC,Ferrari,1:22.017,1:21.739,1:21.442,17
6,8,Romain Grosjean,GRO,Haas Ferrari,1:22.959,1:21.870,1:21.826,17
7,20,Kevin Magnussen,MAG,Haas Ferrari,1:22.519,1:22.221,1:22.099,18
8,4,Lando Norris,NOR,McLaren Renault,1:22.702,1:22.423,1:22.304,21
9,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:22.966,1:22.349,1:22.314,17
10,11,Sergio Perez,PER,Racing Point BWT Mercedes,1:22.908,1:22.532,1:22.781,15
11,27,Nico Hulkenberg,HUL,Renault,1:22.540,1:22.562,DNQ,10
12,3,Daniel Ricciardo,RIC,Renault,1:22.921,1:22.570,DNQ,12
13,23,Alexander Albon,ALB,Scuderia Toro Rosso Honda,1:22.757,1:22.636,DNQ,14
14,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:22.431,1:22.714,DNQ,14
15,26,Daniil Kvyat,KVY,Scuderia Toro Rosso Honda,1:22.511,1:22.774,DNQ,13
16,18,Lance Stroll,STR,Racing Point BWT Mercedes,1:23.017,DNQ,DNQ,6
17,10,Pierre Gasly,GAS,Red Bull Racing Honda,1:23.020,DNQ,DNQ,6
18,55,Carlos Sainz,SAI,McLaren Renault,1:23.084,DNQ,DNQ,6
19,63,George Russell,RUS,Williams Mercedes,1:24.360,DNQ,DNQ,9
20,88,Robert Kubica,KUB,Williams Mercedes,1:26.067,DNQ,DNQ,8
