Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,16,Charles Leclerc,LEC,Ferrari,1:28.495,1:28.046,1:27.866,14
2,5,Sebastian Vettel,VET,Ferrari,1:28.733,1:28.356,1:28.160,14
3,44,Lewis Hamilton,HAM,Mercedes,1:29.262,1:28.578,1:28.190,16
4,77,Valtteri Bottas,BOT,Mercedes,1:29.498,1:28.830,1:28.256,15
5,33,Max Verstappen,VER,Red Bull Racing Honda,1:29.579,1:29.109,1:28.752,12
6,20,Kevin Magnussen,MAG,Haas Ferrari,1:29.532,1:29.017,1:28.757,15
7,55,Carlos Sainz,SAI,McLaren Renault,1:29.528,1:29.055,1:28.813,17
8,8,Romain Grosjean,GRO,Haas Ferrari,1:29.688,1:29.249,1:29.015,17
9,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:29.959,1:29.471,1:29.022,18
10,4,Lando Norris,NOR,McLaren Renault,1:29.381,1:29.258,1:29.043,18
11,3,Daniel Ricciardo,RIC,Renault,1:29.859,1:29.488,DNQ,12
12,23,Alexander Albon,ALB,Scuderia Toro Rosso Honda,1:29.514,1:29.513,DNQ,15
13,10,Pierre Gasly,GAS,Red Bull Racing Honda,1:29.900,1:29.526,DNQ,12
14,11,Sergio Perez,PER,Racing Point BWT Mercedes,1:29.893,1:29.756,DNQ,12
15,26,Daniil Kvyat,KVY,Scuderia Toro Rosso Honda,1:29.876,1:29.854,DNQ,10
16,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:30.026,DNQ,DNQ,6
17,27,Nico Hulkenberg,HUL,Renault,1:30.034,DNQ,DNQ,6
18,18,Lance Stroll,STR,Racing Point BWT Mercedes,1:30.217,DNQ,DNQ,6
19,63,George Russell,RUS,Williams Mercedes,1:31.759,DNQ,DNQ,8
20,88,Robert Kubica,KUB,Williams Mercedes,1:31.799,DNQ,DNQ,8
