Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,44,Lewis Hamilton,HAM,Mercedes,1:30.609,1:29.520,1:28.319,20
2,77,Valtteri Bottas,BOT,Mercedes,1:30.550,1:29.437,1:28.605,19
3,16,Charles Leclerc,LEC,Ferrari,1:30.647,1:29.699,1:28.965,19
4,33,Max Verstappen,VER,Red Bull Racing Honda,1:31.327,1:30.099,1:29.409,19
5,4,Lando Norris,NOR,McLaren Renault,1:30.989,1:30.019,1:29.418,21
6,55,Carlos Sainz,SAI,McLaren Renault,1:31.073,1:30.319,1:29.522,21
7,5,Sebastian Vettel,VET,Ferrari,1:31.075,1:29.506,1:29.799,19
8,3,Daniel Ricciardo,RIC,Renault,1:30.954,1:30.369,1:29.918,20
9,10,Pierre Gasly,GAS,Red Bull Racing Honda,1:31.152,1:30.421,1:30.184,19
10,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:31.180,1:30.408,1:33.420,17
11,23,Alexander Albon,ALB,Scuderia Toro Rosso Honda,1:31.445,1:30.461,DNQ,14
12,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:30.972,1:30.533,DNQ,14
13,27,Nico Hulkenberg,HUL,Renault,1:30.865,1:30.544,DNQ,15
14,11,Sergio Perez,PER,Racing Point BWT Mercedes,1:30.964,1:30.738,DNQ,15
15,20,Kevin Magnussen,MAG,Haas Ferrari,1:31.166,1:31.440,DNQ,17
16,26,Daniil Kvyat,KVY,Scuderia Toro Rosso Honda,1:31.564,DNQ,DNQ,6
17,8,Romain Grosjean,GRO,Haas Ferrari,1:31.626,DNQ,DNQ,9
18,18,Lance Stroll,STR,Racing Point BWT Mercedes,1:31.726,DNQ,DNQ,9
19,63,George Russell,RUS,Williams Mercedes,1:32.789,DNQ,DNQ,8
20,88,Robert Kubica,KUB,Williams Mercedes,1:33.205,DNQ,DNQ,8
