Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,44,Lewis Hamilton,HAM,Mercedes,1:12.852,1:12.149,1:11.767,19
2,33,Max Verstappen,VER,Red Bull Racing Honda,1:12.593,1:12.427,1:12.113,17
3,77,Valtteri Bottas,BOT,Mercedes,1:13.075,1:12.424,1:12.129,19
4,10,Pierre Gasly,GAS,Red Bull Racing Honda,1:12.991,1:12.385,1:12.522,15
5,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:13.066,1:12.519,1:12.538,18
6,8,Romain Grosjean,GRO,Haas Ferrari,1:13.146,1:12.769,1:12.851,20
7,55,Carlos Sainz,SAI,McLaren Renault,1:13.221,1:12.632,1:12.897,21
8,11,Sergio Perez,PER,Racing Point BWT Mercedes,1:13.194,1:12.776,1:13.065,15
9,27,Nico Hulkenberg,HUL,Renault,1:13.186,1:12.766,1:13.126,15
10,16,Charles Leclerc,LEC,Ferrari,1:12.229,1:12.344,DNQ,9
11,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:13.170,1:12.786,DNQ,15
12,20,Kevin Magnussen,MAG,Haas Ferrari,1:13.103,1:12.789,DNQ,11
13,3,Daniel Ricciardo,RIC,Renault,1:13.131,1:12.799,DNQ,12
14,26,Daniil Kvyat,KVY,Scuderia Toro Rosso Honda,1:13.278,1:13.135,DNQ,15
15,18,Lance Stroll,STR,Racing Point BWT Mercedes,1:13.256,1:13.450,DNQ,15
16,4,Lando Norris,NOR,McLaren Renault,1:13.333,DNQ,DNQ,9
17,23,Alexander Albon,ALB,Scuderia Toro Rosso Honda,1:13.461,DNQ,DNQ,9
18,63,George Russell,RUS,Williams Mercedes,1:14.721,DNQ,DNQ,11
19,88,Robert Kubica,KUB,Williams Mercedes,1:14.839,DNQ,DNQ,11
NC,5,Sebastian Vettel,VET,Ferrari,DNS,DNQ,DNQ,1
