Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,16,Charles Leclerc,LEC,Ferrari,1:33.613,1:32.434,1:31.628,18
2,44,Lewis Hamilton,HAM,Mercedes,1:33.230,1:33.134,1:32.030,19
3,5,Sebastian Vettel,VET,Ferrari,1:33.032,1:32.536,1:32.053,22
4,33,Max Verstappen,VER,Red Bull Racing Honda,1:33.368,1:32.634,1:32.310,15
5,77,Valtteri Bottas,BOT,Mercedes,1:33.413,1:33.281,1:32.632,18
6,55,Carlos Sainz,SAI,McLaren Renault,1:34.184,1:33.807,1:33.222,20
7,27,Nico Hulkenberg,HUL,Renault,1:34.236,1:33.898,1:33.289,15
8,4,Lando Norris,NOR,McLaren Renault,1:34.201,1:33.725,1:33.301,20
9,8,Romain Grosjean,GRO,Haas Ferrari,1:34.283,1:33.643,1:33.517,19
10,3,Daniel Ricciardo,RIC,Renault,1:34.138,1:33.862,1:33.661,18
11,10,Pierre Gasly,GAS,Scuderia Toro Rosso Honda,1:34.456,1:33.950,DNQ,13
12,11,Sergio Perez,PER,Racing Point BWT Mercedes,1:34.336,1:33.958,DNQ,14
13,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:34.755,1:34.037,DNQ,14
14,20,Kevin Magnussen,MAG,Haas Ferrari,1:33.889,1:34.082,DNQ,13
15,18,Lance Stroll,STR,Racing Point BWT Mercedes,1:34.287,1:34.233,DNQ,14
16,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:34.840,DNQ,DNQ,8
17,63,George Russell,RUS,Williams Mercedes,1:35.356,DNQ,DNQ,8
18,88,Robert Kubica,KUB,Williams Mercedes,1:36.474,DNQ,DNQ,8
19,23,Alexander Albon,ALB,Red Bull Racing Honda,1:39.197,DNQ,DNQ,4
NC,26,Daniil Kvyat,KVY,Scuderia Toro Rosso Honda,DNQ,DNQ,DNQ,0
