Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,77,Valtteri Bottas,BOT,Mercedes,1:16.979,1:15.924,1:15.406,18
2,44,Lewis Hamilton,HAM,Mercedes,1:17.292,1:16.038,1:16.040,17
3,5,Sebastian Vettel,VET,Ferrari,1:17.425,1:16.667,1:16.272,18
4,33,Max Verstappen,VER,Red Bull Racing Honda,1:17.244,1:16.726,1:16.357,12
5,16,Charles Leclerc,LEC,Ferrari,1:17.388,1:16.714,1:16.588,19
6,10,Pierre Gasly,GAS,Red Bull Racing Honda,1:17.862,1:16.932,1:16.708,17
7,8,Romain Grosjean,GRO,Haas Ferrari,1:18.042,1:17.066,1:16.911,16
8,20,Kevin Magnussen,MAG,Haas Ferrari,1:17.669,1:17.272,1:16.922,15
9,26,Daniil Kvyat,KVY,Scuderia Toro Rosso Honda,1:17.914,1:17.243,1:17.573,20
10,3,Daniel Ricciardo,RIC,Renault,1:18.385,1:17.299,1:18.106,19
11,4,Lando Norris,NOR,McLaren Renault,1:17.611,1:17.338,DNQ,14
12,23,Alexander Albon,ALB,Scuderia Toro Rosso Honda,1:17.796,1:17.445,DNQ,14
13,55,Carlos Sainz,SAI,McLaren Renault,1:17.760,1:17.599,DNQ,12
14,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:18.132,1:17.788,DNQ,14
15,11,Sergio Perez,PER,Racing Point BWT Mercedes,1:18.286,1:17.886,DNQ,12
16,27,Nico Hulkenberg,HUL,Renault,1:18.404,DNQ,DNQ,7
17,18,Lance Stroll,STR,Racing Point BWT Mercedes,1:18.471,DNQ,DNQ,9
18,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:18.664,DNQ,DNQ,8
19,63,George Russell,RUS,Williams Mercedes,1:19.072,DNQ,DNQ,8
20,88,Robert Kubica,KUB,Williams Mercedes,1:20.254,DNQ,DNQ,9
