Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,44,Lewis Hamilton,HAM,Mercedes,71,1:36:48.904,25
2,5,Sebastian Vettel,VET,Ferrari,71,+1.766s,18
3,77,Valtteri Bottas,BOT,Mercedes,71,+3.553s,15
4,16,Charles Leclerc,LEC,Ferrari,71,+6.368s,13
5,23,Alexander Albon,ALB,Red Bull Racing Honda,71,+21.399s,10
6,33,Max Verstappen,VER,Red Bull Racing Honda,71,+68.807s,8
7,11,Sergio Perez,PER,Racing Point BWT Mercedes,71,+73.819s,6
8,3,Daniel Ricciardo,RIC,Renault,71,+74.924s,4
9,10,Pierre Gasly,GAS,Scuderia Toro Rosso Honda,70,+1 lap,2
10,27,Nico Hulkenberg,HUL,Renault,70,+1 lap,1
11,26,Daniil Kvyat,KVY,Scuderia Toro Rosso Honda,70,+1 lap,0
12,18,Lance Stroll,STR,Racing Point BWT Mercedes,70,+1 lap,0
13,55,Carlos Sainz,SAI,McLaren Renault,70,+1 lap,0
14,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,70,+1 lap,0
15,20,Kevin Magnussen,MAG,Haas Ferrari,69,+2 laps,0
16,63,George Russell,RUS,Williams Mercedes,69,+2 laps,0
17,8,Romain Grosjean,GRO,Haas Ferrari,69,+2 laps,0
18,88,Robert Kubica,KUB,Williams Mercedes,69,+2 laps,0
NC,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,58,DNF,0
NC,4,Lando Norris,NOR,McLaren Renault,48,DNF,0
