Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,77,Valtteri Bottas,BOT,Mercedes,1:26.573,1:25.971,1:25.269,19
2,44,Lewis Hamilton,HAM,Mercedes,1:26.620,1:25.390,1:25.525,18
3,33,Max Verstappen,VER,Red Bull Racing Honda,1:26.319,1:25.467,1:25.562,15
4,16,Charles Leclerc,LEC,Ferrari,1:26.857,1:26.240,1:26.035,18
5,23,Alexander Albon,ALB,Red Bull Racing Honda,1:27.126,1:26.285,1:26.047,15
6,3,Daniel Ricciardo,RIC,Renault,1:26.836,1:26.096,1:26.223,18
7,31,Esteban Ocon,OCO,Renault,1:27.086,1:26.364,1:26.242,20
8,4,Lando Norris,NOR,McLaren Renault,1:26.829,1:26.316,1:26.458,18
9,11,Sergio Perez,PER,Racing Point BWT Mercedes,1:27.120,1:26.330,1:26.704,17
10,55,Carlos Sainz,SAI,McLaren Renault,1:27.378,1:26.361,1:26.709,20
11,5,Sebastian Vettel,VET,Ferrari,1:27.107,1:26.738,DNQ,16
12,10,Pierre Gasly,GAS,AlphaTauri Honda,1:27.072,1:26.776,DNQ,16
13,26,Daniil Kvyat,KVY,AlphaTauri Honda,1:27.285,1:26.848,DNQ,16
14,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:27.532,1:26.936,DNQ,14
15,20,Kevin Magnussen,MAG,Haas Ferrari,1:27.231,1:27.125,DNQ,16
16,8,Romain Grosjean,GRO,Haas Ferrari,1:27.552,DNQ,DNQ,10
17,63,George Russell,RUS,Williams Mercedes,1:27.564,DNQ,DNQ,9
18,6,Nicholas Latifi,LAT,Williams Mercedes,1:27.812,DNQ,DNQ,9
19,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:27.817,DNQ,DNQ,8
20,27,Nico Hulkenberg,HUL,Racing Point BWT Mercedes,1:28.021,DNQ,DNQ,10
