Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,77,Valtteri Bottas,BOT,Mercedes,1:14.221,1:14.585,1:13.609,22
2,44,Lewis Hamilton,HAM,Mercedes,1:14.229,1:14.643,1:13.706,22
3,33,Max Verstappen,VER,Red Bull Racing Honda,1:15.034,1:14.974,1:14.176,16
4,10,Pierre Gasly,GAS,AlphaTauri Honda,1:15.183,1:14.681,1:14.502,19
5,3,Daniel Ricciardo,RIC,Renault,1:15.474,1:14.953,1:14.520,18
6,23,Alexander Albon,ALB,Red Bull Racing Honda,1:15.402,1:14.745,1:14.572,21
7,16,Charles Leclerc,LEC,Ferrari,1:15.123,1:15.017,1:14.616,20
8,26,Daniil Kvyat,KVY,AlphaTauri Honda,1:15.412,1:15.022,1:14.696,21
9,4,Lando Norris,NOR,McLaren Renault,1:15.274,1:15.051,1:14.814,17
10,55,Carlos Sainz,SAI,McLaren Renault,1:15.528,1:15.027,1:14.911,19
11,11,Sergio Perez,PER,Racing Point BWT Mercedes,1:15.407,1:15.061,DNQ,16
12,31,Esteban Ocon,OCO,Renault,1:15.352,1:15.201,DNQ,14
13,63,George Russell,RUS,Williams Mercedes,1:15.760,1:15.323,DNQ,18
14,5,Sebastian Vettel,VET,Ferrari,1:15.571,1:15.385,DNQ,20
15,18,Lance Stroll,STR,Racing Point BWT Mercedes,1:15.822,1:15.494,DNQ,16
16,8,Romain Grosjean,GRO,Haas Ferrari,1:15.918,DNQ,DNQ,10
17,20,Kevin Magnussen,MAG,Haas Ferrari,1:15.939,DNQ,DNQ,11
18,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:15.953,DNQ,DNQ,10
19,6,Nicholas Latifi,LAT,Williams Mercedes,1:15.987,DNQ,DNQ,12
20,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:16.208,DNQ,DNQ,8
