Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,77,Valtteri Bottas,BOT,Mercedes,1:26.738,1:25.785,1:25.154,20
2,44,Lewis Hamilton,HAM,Mercedes,1:26.818,1:26.266,1:25.217,20
3,27,Nico Hulkenberg,HUL,Racing Point BWT Mercedes,1:27.279,1:26.261,1:26.082,18
4,33,Max Verstappen,VER,Red Bull Racing Honda,1:27.154,1:26.779,1:26.176,12
5,3,Daniel Ricciardo,RIC,Renault,1:27.442,1:26.636,1:26.297,14
6,18,Lance Stroll,STR,Racing Point BWT Mercedes,1:27.187,1:26.674,1:26.428,18
7,10,Pierre Gasly,GAS,AlphaTauri Honda,1:27.154,1:26.523,1:26.534,18
8,16,Charles Leclerc,LEC,Ferrari,1:27.427,1:26.709,1:26.614,16
9,23,Alexander Albon,ALB,Red Bull Racing Honda,1:27.153,1:26.642,1:26.669,18
10,4,Lando Norris,NOR,McLaren Renault,1:27.217,1:26.885,1:26.778,18
11,31,Esteban Ocon,OCO,Renault,1:27.278,1:27.011,DNQ,12
12,5,Sebastian Vettel,VET,Ferrari,1:27.612,1:27.078,DNQ,14
13,55,Carlos Sainz,SAI,McLaren Renault,1:27.450,1:27.083,DNQ,12
14,8,Romain Grosjean,GRO,Haas Ferrari,1:27.519,1:27.254,DNQ,16
15,63,George Russell,RUS,Williams Mercedes,1:27.757,1:27.455,DNQ,11
16,26,Daniil Kvyat,KVY,AlphaTauri Honda,1:27.882,DNQ,DNQ,6
17,20,Kevin Magnussen,MAG,Haas Ferrari,1:28.236,DNQ,DNQ,9
18,6,Nicholas Latifi,LAT,Williams Mercedes,1:28.430,DNQ,DNQ,6
19,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:28.433,DNQ,DNQ,6
20,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:28.493,DNQ,DNQ,6
