Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,44,Lewis Hamilton,HAM,Mercedes,1:25.900,1:25.347,1:24.303,22
2,77,Valtteri Bottas,BOT,Mercedes,1:25.801,1:25.015,1:24.616,17
3,33,Max Verstappen,VER,Red Bull Racing Honda,1:26.115,1:26.144,1:25.325,15
4,16,Charles Leclerc,LEC,Ferrari,1:26.550,1:26.203,1:25.427,16
5,4,Lando Norris,NOR,McLaren Renault,1:26.855,1:26.420,1:25.782,20
6,18,Lance Stroll,STR,Racing Point BWT Mercedes,1:26.243,1:26.501,1:25.839,20
7,55,Carlos Sainz,SAI,McLaren Renault,1:26.715,1:26.149,1:25.965,20
8,3,Daniel Ricciardo,RIC,Renault,1:26.677,1:26.339,1:26.009,19
9,31,Esteban Ocon,OCO,Renault,1:26.396,1:26.252,1:26.209,20
10,5,Sebastian Vettel,VET,Ferrari,1:26.469,1:26.455,1:26.339,20
11,10,Pierre Gasly,GAS,AlphaTauri Honda,1:26.343,1:26.501,DNQ,12
12,23,Alexander Albon,ALB,Red Bull Racing Honda,1:26.565,1:26.545,DNQ,11
13,27,Nico Hulkenberg,HUL,Racing Point BWT Mercedes,1:26.327,1:26.566,DNQ,14
14,26,Daniil Kvyat,KVY,AlphaTauri Honda,1:26.774,1:26.744,DNQ,12
15,63,George Russell,RUS,Williams Mercedes,1:26.732,1:27.092,DNQ,14
16,20,Kevin Magnussen,MAG,Haas Ferrari,1:27.158,DNQ,DNQ,9
17,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:27.164,DNQ,DNQ,9
18,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:27.366,DNQ,DNQ,9
19,8,Romain Grosjean,GRO,Haas Ferrari,1:27.643,DNQ,DNQ,9
20,6,Nicholas Latifi,LAT,Williams Mercedes,1:27.705,DNQ,DNQ,7
