Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,44,Lewis Hamilton,HAM,Mercedes,1:15.778,1:15.309,1:15.144,14
2,77,Valtteri Bottas,BOT,Mercedes,1:15.749,1:15.322,1:15.203,11
3,33,Max Verstappen,VER,Red Bull Racing Honda,1:16.335,1:15.471,1:15.509,12
4,23,Alexander Albon,ALB,Red Bull Racing Honda,1:16.527,1:15.914,1:15.954,14
5,16,Charles Leclerc,LEC,Ferrari,1:16.698,1:16.324,1:16.270,18
6,11,Sergio Perez,PER,Racing Point BWT Mercedes,1:16.596,1:16.489,1:16.311,16
7,18,Lance Stroll,STR,Racing Point BWT Mercedes,1:16.701,1:16.271,1:16.356,14
8,3,Daniel Ricciardo,RIC,Renault,1:16.981,1:16.243,1:16.543,14
9,55,Carlos Sainz,SAI,McLaren Renault,1:16.993,1:16.522,1:17.870,17
10,31,Esteban Ocon,OCO,Renault,1:16.825,1:16.297,DNF,14
11,4,Lando Norris,NOR,McLaren Renault,1:16.895,1:16.640,DNQ,12
12,26,Daniil Kvyat,KVY,AlphaTauri Honda,1:16.928,1:16.854,DNQ,11
13,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:17.059,1:16.854,DNQ,12
14,5,Sebastian Vettel,VET,Ferrari,1:17.072,1:16.858,DNQ,12
15,8,Romain Grosjean,GRO,Haas Ferrari,1:17.069,1:17.254,DNQ,12
16,10,Pierre Gasly,GAS,AlphaTauri Honda,1:17.125,DNQ,DNQ,6
17,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:17.220,DNQ,DNQ,6
18,63,George Russell,RUS,Williams Mercedes,1:17.232,DNQ,DNQ,9
19,6,Nicholas Latifi,LAT,Williams Mercedes,1:17.320,DNQ,DNQ,9
20,20,Kevin Magnussen,MAG,Haas Ferrari,1:17.348,DNQ,DNQ,6
