Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,44,Lewis Hamilton,HAM,Mercedes,60,1:35:49.641,25
2,33,Max Verstappen,VER,Red Bull Racing Honda,60,+4.470s,19
3,3,Daniel Ricciardo,RIC,Renault,60,+14.613s,15
4,11,Sergio Perez,PER,Racing Point BWT Mercedes,60,+16.070s,12
5,55,Carlos Sainz,SAI,McLaren Renault,60,+21.905s,10
6,10,Pierre Gasly,GAS,AlphaTauri Honda,60,+22.766s,8
7,16,Charles Leclerc,LEC,Ferrari,60,+30.814s,6
8,27,Nico Hulkenberg,HUL,Racing Point BWT Mercedes,60,+32.596s,4
9,8,Romain Grosjean,GRO,Haas Ferrari,60,+39.081s,2
10,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,60,+40.035s,1
11,5,Sebastian Vettel,VET,Ferrari,60,+40.810s,0
12,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,60,+41.476s,0
13,20,Kevin Magnussen,MAG,Haas Ferrari,60,+49.585s,0
14,6,Nicholas Latifi,LAT,Williams Mercedes,60,+54.449s,0
15,26,Daniil Kvyat,KVY,AlphaTauri Honda,60,+55.588s,0
NC,4,Lando Norris,NOR,McLaren Renault,42,DNF,0
NC,23,Alexander Albon,ALB,Red Bull Racing Honda,23,DNF,0
NC,31,Esteban Ocon,OCO,Renault,22,DNF,0
NC,77,Valtteri Bottas,BOT,Mercedes,18,DNF,0
NC,63,George Russell,RUS,Williams Mercedes,12,DNF,0
