Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,33,Max Verstappen,VER,Red Bull Racing Honda,1:04.249,1:03.927,1:03.720,16
2,4,Lando Norris,NOR,McLaren Mercedes,1:04.345,1:04.415,1:03.768,19
3,11,Sergio Perez,PER,Red Bull Racing Honda,1:04.833,1:04.483,1:03.990,24
4,44,Lewis Hamilton,HAM,Mercedes,1:04.506,1:04.258,1:04.014,18
5,77,Valtteri Bottas,BOT,Mercedes,1:04.563,1:04.376,1:04.049,19
6,10,Pierre Gasly,GAS,AlphaTauri Honda,1:04.841,1:04.412,1:04.107,21
7,22,Yuki Tsunoda,TSU,AlphaTauri Honda,1:04.967,1:04.518,1:04.273,21
8,5,Sebastian Vettel,VET,Aston Martin Mercedes,1:04.846,1:04.493,1:04.570,20
9,63,George Russell,RUS,Williams Mercedes,1:04.907,1:04.553,1:04.591,15
10,18,Lance Stroll,STR,Aston Martin Mercedes,1:04.927,1:04.547,1:04.618,21
11,55,Carlos Sainz,SAI,Ferrari,1:04.596,1:04.559,DNQ,15
12,16,Charles Leclerc,LEC,Ferrari,1:04.906,1:04.600,DNQ,15
13,3,Daniel Ricciardo,RIC,McLaren Mercedes,1:04.977,1:04.719,DNQ,15
14,14,Fernando Alonso,ALO,Alpine Renault,1:04.472,1:04.856,DNQ,9
15,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:04.782,1:05.083,DNQ,15
16,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:05.009,DNQ,DNQ,9
17,31,Esteban Ocon,OCO,Alpine Renault,1:05.051,DNQ,DNQ,6
18,6,Nicholas Latifi,LAT,Williams Mercedes,1:05.195,DNQ,DNQ,6
19,47,Mick Schumacher,MSC,Haas Ferrari,1:05.427,DNQ,DNQ,9
20,9,Nikita Mazepin,MAZ,Haas Ferrari,1:05.951,DNQ,DNQ,9
