Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,77,Valtteri Bottas,BOT,Mercedes,1:16.727,1:16.864,1:15.875,23
2,44,Lewis Hamilton,HAM,Mercedes,1:17.207,1:16.474,1:16.020,22
3,33,Max Verstappen,VER,Red Bull Racing Honda,1:16.788,1:16.483,1:16.225,18
4,11,Sergio Perez,PER,Red Bull Racing Honda,1:17.003,1:17.055,1:16.342,18
5,10,Pierre Gasly,GAS,AlphaTauri Honda,1:16.908,1:16.955,1:16.456,22
6,55,Carlos Sainz,SAI,Ferrari,1:17.517,1:17.248,1:16.761,23
7,3,Daniel Ricciardo,RIC,McLaren Mercedes,1:17.719,1:17.092,1:16.763,17
8,16,Charles Leclerc,LEC,Ferrari,1:16.748,1:17.034,1:16.837,22
9,22,Yuki Tsunoda,TSU,AlphaTauri Honda,1:17.330,1:16.701,1:17.158,19
10,4,Lando Norris,NOR,McLaren Mercedes,1:17.569,1:17.473,1:36.830,19
11,5,Sebastian Vettel,VET,Aston Martin Mercedes,1:17.502,1:17.746,DNQ,16
12,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:17.606,1:17.958,DNQ,18
13,63,George Russell,RUS,Williams Mercedes,1:17.958,1:18.172,DNQ,13
14,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:17.897,1:18.290,DNQ,15
15,31,Esteban Ocon,OCO,Alpine Renault,1:18.126,1:18.405,DNQ,13
16,14,Fernando Alonso,ALO,Alpine Renault,1:18.452,DNQ,DNQ,7
17,6,Nicholas Latifi,LAT,Williams Mercedes,1:18.756,DNQ,DNQ,8
18,47,Mick Schumacher,MSC,Haas Ferrari,1:18.858,DNQ,DNQ,9
19,9,Nikita Mazepin,MAZ,Haas Ferrari,1:19.303,DNQ,DNQ,9
20,18,Lance Stroll,STR,Aston Martin Mercedes,1:20.873,DNQ,DNQ,3
