Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,16,Charles Leclerc,LEC,Ferrari,1:11.113,1:10.597,1:10.346,27
2,33,Max Verstappen,VER,Red Bull Racing Honda,1:11.124,1:10.650,1:10.576,23
3,77,Valtteri Bottas,BOT,Mercedes,1:10.938,1:10.695,1:10.601,28
4,55,Carlos Sainz,SAI,Ferrari,1:11.324,1:10.806,1:10.611,25
5,4,Lando Norris,NOR,McLaren Mercedes,1:11.321,1:11.031,1:10.620,23
6,10,Pierre Gasly,GAS,AlphaTauri Honda,1:11.560,1:11.179,1:10.900,30
7,44,Lewis Hamilton,HAM,Mercedes,1:11.622,1:11.116,1:11.095,30
8,5,Sebastian Vettel,VET,Aston Martin Mercedes,1:12.078,1:11.309,1:11.419,26
9,11,Sergio Perez,PER,Red Bull Racing Honda,1:11.644,1:11.019,1:11.573,26
10,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:11.658,1:11.409,1:11.779,28
11,31,Esteban Ocon,OCO,Alpine Renault,1:11.740,1:11.486,DNQ,22
12,3,Daniel Ricciardo,RIC,McLaren Mercedes,1:11.747,1:11.598,DNQ,21
13,18,Lance Stroll,STR,Aston Martin Mercedes,1:11.979,1:11.600,DNQ,20
14,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:11.899,1:11.642,DNQ,21
15,63,George Russell,RUS,Williams Mercedes,1:12.016,1:11.830,DNQ,24
16,22,Yuki Tsunoda,TSU,AlphaTauri Honda,1:12.096,DNQ,DNQ,13
17,14,Fernando Alonso,ALO,Alpine Renault,1:12.205,DNQ,DNQ,12
18,6,Nicholas Latifi,LAT,Williams Mercedes,1:12.366,DNQ,DNQ,14
19,9,Nikita Mazepin,MAZ,Haas Ferrari,1:12.958,DNQ,DNQ,12
