Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,77,Valtteri Bottas,BOT,Mercedes,1:18.722,1:18.458,1:18.348,23
2,44,Lewis Hamilton,HAM,Mercedes,1:18.857,1:17.968,1:18.355,24
3,33,Max Verstappen,VER,Red Bull Racing Honda,1:19.485,1:18.650,1:18.746,20
4,11,Sergio Perez,PER,Red Bull Racing Honda,1:19.337,1:18.845,1:18.890,22
5,55,Carlos Sainz,SAI,Ferrari,1:19.309,1:18.813,1:19.039,23
6,31,Esteban Ocon,OCO,Alpine Renault,1:19.092,1:18.586,1:19.042,17
7,4,Lando Norris,NOR,McLaren Mercedes,1:18.794,1:18.481,1:19.116,24
8,16,Charles Leclerc,LEC,Ferrari,1:19.373,1:18.769,1:19.306,29
9,10,Pierre Gasly,GAS,AlphaTauri Honda,1:19.464,1:19.052,1:19.475,26
10,5,Sebastian Vettel,VET,Aston Martin Mercedes,1:19.403,1:18.970,1:19.659,22
11,63,George Russell,RUS,Williams Mercedes,1:19.797,1:19.109,DNQ,15
12,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:19.410,1:19.216,DNQ,19
13,14,Fernando Alonso,ALO,Alpine Renault,1:19.728,1:19.456,DNQ,12
14,22,Yuki Tsunoda,TSU,AlphaTauri Honda,1:19.684,1:19.463,DNQ,17
15,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:19.748,1:19.812,DNQ,19
16,3,Daniel Ricciardo,RIC,McLaren Mercedes,1:19.839,DNQ,DNQ,11
17,18,Lance Stroll,STR,Aston Martin Mercedes,1:19.913,DNQ,DNQ,10
18,6,Nicholas Latifi,LAT,Williams Mercedes,1:20.285,DNQ,DNQ,9
19,47,Mick Schumacher,MSC,Haas Ferrari,1:20.452,DNQ,DNQ,11
20,9,Nikita Mazepin,MAZ,Haas Ferrari,1:20.912,DNQ,DNQ,11
