Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,44,Lewis Hamilton,HAM,Mercedes,1:28.466,1:27.712,1:27.511,23
2,77,Valtteri Bottas,BOT,Mercedes,1:28.057,1:28.054,1:27.622,25
3,33,Max Verstappen,VER,Red Bull Racing Honda,1:28.285,1:27.953,1:27.653,19
4,16,Charles Leclerc,LEC,Ferrari,1:28.310,1:28.459,1:28.054,24
5,11,Sergio Perez,PER,Red Bull Racing Honda,1:28.021,1:27.946,1:28.123,23
6,10,Pierre Gasly,GAS,AlphaTauri Honda,1:28.401,1:28.314,1:28.125,26
7,4,Lando Norris,NOR,McLaren Mercedes,1:28.338,1:28.344,1:28.180,21
8,22,Yuki Tsunoda,TSU,AlphaTauri Honda,1:28.503,1:28.222,1:28.442,26
9,31,Esteban Ocon,OCO,Alpine Renault,1:28.752,1:28.574,1:28.647,22
10,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:28.899,1:28.616,1:28.754,21
11,3,Daniel Ricciardo,RIC,McLaren Mercedes,1:28.216,1:28.668,DNQ,17
12,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:28.856,1:28.885,DNQ,18
13,14,Fernando Alonso,ALO,Alpine Renault,1:28.944,1:28.920,DNQ,17
14,63,George Russell,RUS,Williams Mercedes,1:28.926,1:29.054,DNQ,17
15,55,Carlos Sainz,SAI,Ferrari,1:28.237,1:53.652,DNQ,16
16,6,Nicholas Latifi,LAT,Williams Mercedes,1:29.177,DNQ,DNQ,9
17,5,Sebastian Vettel,VET,Aston Martin Mercedes,1:29.198,DNQ,DNQ,10
18,18,Lance Stroll,STR,Aston Martin Mercedes,1:29.368,DNQ,DNQ,9
19,47,Mick Schumacher,MSC,Haas Ferrari,1:29.464,DNQ,DNQ,9
20,9,Nikita Mazepin,MAZ,Haas Ferrari,1:30.473,DNQ,DNQ,8
