Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,33,Max Verstappen,VER,Red Bull Racing Honda,1:04.489,1:04.433,1:03.841,20
2,77,Valtteri Bottas,BOT,Mercedes,1:04.537,1:04.443,1:04.035,23
3,44,Lewis Hamilton,HAM,Mercedes,1:04.672,1:04.512,1:04.067,25
4,4,Lando Norris,NOR,McLaren Mercedes,1:04.584,1:04.298,1:04.120,17
5,11,Sergio Perez,PER,Red Bull Racing Honda,1:04.638,1:04.197,1:04.168,21
6,10,Pierre Gasly,GAS,AlphaTauri Honda,1:04.765,1:04.429,1:04.236,18
7,16,Charles Leclerc,LEC,Ferrari,1:04.745,1:04.646,1:04.472,21
8,22,Yuki Tsunoda,TSU,AlphaTauri Honda,1:04.608,1:04.631,1:04.514,21
9,14,Fernando Alonso,ALO,Alpine Renault,1:04.971,1:04.582,1:04.574,18
10,18,Lance Stroll,STR,Aston Martin Mercedes,1:04.821,1:04.663,1:04.708,18
11,63,George Russell,RUS,Williams Mercedes,1:05.033,1:04.671,DNQ,14
12,55,Carlos Sainz,SAI,Ferrari,1:04.859,1:04.800,DNQ,15
13,3,Daniel Ricciardo,RIC,McLaren Mercedes,1:05.142,1:04.808,DNQ,14
14,5,Sebastian Vettel,VET,Aston Martin Mercedes,1:05.051,1:04.875,DNQ,15
15,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,1:05.092,1:04.913,DNQ,17
16,6,Nicholas Latifi,LAT,Williams Mercedes,1:05.175,DNQ,DNQ,9
17,31,Esteban Ocon,OCO,Alpine Renault,1:05.217,DNQ,DNQ,6
18,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,1:05.429,DNQ,DNQ,8
19,47,Mick Schumacher,MSC,Haas Ferrari,1:06.041,DNQ,DNQ,8
20,9,Nikita Mazepin,MAZ,Haas Ferrari,1:06.192,DNQ,DNQ,9
