Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,33,Max Verstappen,VER,Red Bull Racing Honda,63,2:02:34.598,25
2,44,Lewis Hamilton,HAM,Mercedes,63,+22.000s,19
3,4,Lando Norris,NOR,McLaren Mercedes,63,+23.702s,15
4,16,Charles Leclerc,LEC,Ferrari,63,+25.579s,12
5,55,Carlos Sainz,SAI,Ferrari,63,+27.036s,10
6,3,Daniel Ricciardo,RIC,McLaren Mercedes,63,+51.220s,8
7,10,Pierre Gasly,GAS,AlphaTauri Honda,63,+52.818s,6
8,18,Lance Stroll,STR,Aston Martin Mercedes,63,+56.909s,4
9,31,Esteban Ocon,OCO,Alpine Renault,63,+65.704s,2
10,14,Fernando Alonso,ALO,Alpine Renault,63,+66.561s,1
11,11,Sergio Perez,PER,Red Bull Racing Honda,63,+67.151s,0
12,22,Yuki Tsunoda,TSU,AlphaTauri Honda,63,+73.184s,0
13,7,Kimi Räikkönen,RAI,Alfa Romeo Racing Ferrari,63,+94.773s,0
14,99,Antonio Giovinazzi,GIO,Alfa Romeo Racing Ferrari,62,+1 lap,0
15,5,Sebastian Vettel,VET,Aston Martin Mercedes,61,DNF,0
16,47,Mick Schumacher,MSC,Haas Ferrari,61,+2 laps,0
17,9,Nikita Mazepin,MAZ,Haas Ferrari,61,+2 laps,0
NC,77,Valtteri Bottas,BOT,Mercedes,30,DNF,0
NC,63,George Russell,RUS,Williams Mercedes,30,DNF,0
NC,6,Nicholas Latifi,LAT,Williams Mercedes,0,DNF,0
