Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,16,Charles Leclerc,LEC,Ferrari,1:18.881,1:18.606,1:17.868,21
2,1,Max Verstappen,VER,Red Bull Racing RBPT,1:18.580,1:18.611,1:18.154,21
3,11,Sergio Perez,PER,Red Bull Racing RBPT,1:18.834,1:18.340,1:18.240,21
4,4,Lando Norris,NOR,McLaren Mercedes,1:19.280,1:19.066,1:18.703,20
5,44,Lewis Hamilton,HAM,Mercedes,1:19.401,1:19.106,1:18.825,28
6,63,George Russell,RUS,Mercedes,1:19.405,1:19.076,1:18.933,26
7,3,Daniel Ricciardo,RIC,McLaren Mercedes,1:19.665,1:19.130,1:19.032,22
8,31,Esteban Ocon,OCO,Alpine Renault,1:19.605,1:19.136,1:19.061,23
9,55,Carlos Sainz,SAI,Ferrari,1:18.983,1:18.469,1:19.408,22
10,14,Fernando Alonso,ALO,Alpine Renault,1:19.192,1:18.815,DNF,15
11,10,Pierre Gasly,GAS,AlphaTauri RBPT,1:19.580,1:19.226,DNQ,19
12,77,Valtteri Bottas,BOT,Alfa Romeo Ferrari,1:19.251,1:19.410,DNQ,13
13,22,Yuki Tsunoda,TSU,AlphaTauri RBPT,1:19.742,1:19.424,DNQ,17
14,24,Zhou Guanyu,ZHO,Alfa Romeo Ferrari,1:19.910,1:20.155,DNQ,16
15,47,Mick Schumacher,MSC,Haas Ferrari,1:20.104,1:20.465,DNQ,19
NC,23,Alexander Albon,ALB,Williams Mercedes,1:20.135,DNQ,DNQ,11
16,20,Kevin Magnussen,MAG,Haas Ferrari,1:20.254,DNQ,DNQ,11
17,5,Sebastian Vettel,VET,Aston Martin Aramco Mercedes,1:21.149,DNQ,DNQ,3
18,6,Nicholas Latifi,LAT,Williams Mercedes,1:21.372,DNQ,DNQ,8
NC,18,Lance Stroll,STR,Aston Martin Aramco Mercedes,DNF,DNQ,DNQ,2
