Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,16,Charles Leclerc,LEC,Ferrari,1:42.865,1:42.046,1:41.359,19
2,11,Sergio Perez,PER,Red Bull Racing RBPT,1:42.733,1:41.955,1:41.641,18
3,1,Max Verstappen,VER,Red Bull Racing RBPT,1:42.722,1:42.227,1:41.706,19
4,55,Carlos Sainz,SAI,Ferrari,1:42.957,1:42.088,1:41.814,19
5,63,George Russell,RUS,Mercedes,1:43.754,1:43.281,1:42.712,23
6,10,Pierre Gasly,GAS,AlphaTauri RBPT,1:43.268,1:43.129,1:42.845,23
7,44,Lewis Hamilton,HAM,Mercedes,1:43.939,1:43.182,1:42.924,22
8,22,Yuki Tsunoda,TSU,AlphaTauri RBPT,1:43.595,1:43.376,1:43.056,22
9,5,Sebastian Vettel,VET,Aston Martin Aramco Mercedes,1:43.279,1:43.268,1:43.091,18
10,14,Fernando Alonso,ALO,Alpine Renault,1:44.083,1:43.360,1:43.173,20
11,4,Lando Norris,NOR,McLaren Mercedes,1:44.237,1:43.398,DNQ,16
12,3,Daniel Ricciardo,RIC,McLaren Mercedes,1:44.437,1:43.574,DNQ,17
13,31,Esteban Ocon,OCO,Alpine Renault,1:43.903,1:43.585,DNQ,13
14,24,Zhou Guanyu,ZHO,Alfa Romeo Ferrari,1:43.777,1:43.790,DNQ,13
15,77,Valtteri Bottas,BOT,Alfa Romeo Ferrari,1:44.478,1:44.444,DNQ,13
16,20,Kevin Magnussen,MAG,Haas Ferrari,1:44.643,DNQ,DNQ,9
17,23,Alexander Albon,ALB,Williams Mercedes,1:44.719,DNQ,DNQ,9
18,6,Nicholas Latifi,LAT,Williams Mercedes,1:45.367,DNQ,DNQ,8
19,18,Lance Stroll,STR,Aston Martin Aramco Mercedes,1:45.371,DNQ,DNQ,7
20,47,Mick Schumacher,MSC,Haas Ferrari,1:45.775,DNQ,DNQ,9
