Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,1,Max Verstappen,VER,Red Bull Racing RBPT,1:32.219,1:23.746,1:21.299,30
2,14,Fernando Alonso,ALO,Alpine Renault,1:32.277,1:24.848,1:21.944,29
3,55,Carlos Sainz,SAI,Ferrari,1:32.781,1:25.197,1:22.096,29
4,44,Lewis Hamilton,HAM,Mercedes,1:33.841,1:25.543,1:22.891,31
5,20,Kevin Magnussen,MAG,Haas Ferrari,1:32.957,1:26.254,1:22.960,31
6,47,Mick Schumacher,MSC,Haas Ferrari,1:33.707,1:25.684,1:23.356,31
7,31,Esteban Ocon,OCO,Alpine Renault,1:33.012,1:26.135,1:23.529,30
8,63,George Russell,RUS,Mercedes,1:33.160,1:24.950,1:23.557,30
9,3,Daniel Ricciardo,RIC,McLaren Mercedes,1:33.636,1:26.375,1:23.749,30
10,24,Zhou Guanyu,ZHO,Alfa Romeo Ferrari,1:33.692,1:26.116,1:24.030,31
11,77,Valtteri Bottas,BOT,Alfa Romeo Ferrari,1:33.689,1:26.788,DNQ,21
12,23,Alexander Albon,ALB,Williams Mercedes,1:34.047,1:26.858,DNQ,21
13,11,Sergio Perez,PER,Red Bull Racing RBPT,1:33.929,1:33.127,DNQ,14
14,4,Lando Norris,NOR,McLaren Mercedes,1:34.066,DNF,DNQ,15
15,16,Charles Leclerc,LEC,Ferrari,1:33.008,DNQ,DNQ,10
16,10,Pierre Gasly,GAS,AlphaTauri RBPT,1:34.492,DNQ,DNQ,11
17,5,Sebastian Vettel,VET,Aston Martin Aramco Mercedes,1:34.512,DNQ,DNQ,12
18,18,Lance Stroll,STR,Aston Martin Aramco Mercedes,1:35.532,DNQ,DNQ,11
19,6,Nicholas Latifi,LAT,Williams Mercedes,1:35.660,DNQ,DNQ,11
20,22,Yuki Tsunoda,TSU,AlphaTauri RBPT,1:36.575,DNQ,DNQ,4
