Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,16,Charles Leclerc,LEC,Ferrari,1:31.727,1:31.216,1:30.872,17
2,1,Max Verstappen,VER,Red Bull Racing RBPT,1:31.891,1:31.990,1:31.176,14
3,11,Sergio Perez,PER,Red Bull Racing RBPT,1:32.354,1:32.120,1:31.335,20
4,44,Lewis Hamilton,HAM,Mercedes,1:33.041,1:32.274,1:31.765,19
5,4,Lando Norris,NOR,McLaren Mercedes,1:32.672,1:32.777,1:32.032,14
6,63,George Russell,RUS,Mercedes,1:33.109,1:32.633,1:32.131,20
7,14,Fernando Alonso,ALO,Alpine Renault,1:32.819,1:32.631,1:32.552,17
8,22,Yuki Tsunoda,TSU,AlphaTauri RBPT,1:33.394,1:32.836,1:32.780,20
9,55,Carlos Sainz,SAI,Ferrari,1:32.297,1:31.081,DNF,10
10,20,Kevin Magnussen,MAG,Haas Ferrari,1:32.756,1:32.649,DNQ,9
11,3,Daniel Ricciardo,RIC,McLaren Mercedes,1:33.404,1:32.922,DNQ,12
12,31,Esteban Ocon,OCO,Alpine Renault,1:33.346,1:33.048,DNQ,12
13,77,Valtteri Bottas,BOT,Alfa Romeo Ferrari,1:33.034,1:33.052,DNQ,13
14,5,Sebastian Vettel,VET,Aston Martin Aramco Mercedes,1:33.285,1:33.276,DNQ,15
15,23,Alexander Albon,ALB,Williams Mercedes,1:33.423,1:33.307,DNQ,11
16,10,Pierre Gasly,GAS,AlphaTauri RBPT,1:33.439,DNQ,DNQ,7
17,18,Lance Stroll,STR,Aston Martin Aramco Mercedes,1:33.439,DNQ,DNQ,9
18,24,Zhou Guanyu,ZHO,Alfa Romeo Ferrari,1:33.674,DNQ,DNQ,8
19,47,Mick Schumacher,MSC,Haas Ferrari,1:33.701,DNQ,DNQ,9
20,6,Nicholas Latifi,LAT,Williams Mercedes,1:33.794,DNQ,DNQ,6
